Capitec Bank Statement
Account No: 12565847674

Date | Description | Amount | Balance
23/06/2026 | DIS-CHEM | -R585,29 | R47 823,49
25/06/2026 | RIDGE MEDICAL PARTNERS SALARY REF 12202606 | R85 000,00 | R132 823,49
25/06/2026 | CHECKERS UMHLANGA | -R1 025,83 | R131 797,66
26/06/2026 | GAME STORES | -R508,34 | R131 289,32
29/06/2026 | TAKEALOT.COM | -R280,86 | R131 008,46
30/06/2026 | WOOLWORTHS SANDTON | -R2 776,82 | R128 231,64
01/07/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R128 224,14
01/07/2026 | RENT PAYMENT MOUNT EDGECOMBE | -R22 000,00 | R106 224,14
01/07/2026 | BOLT TRIP | -R337,21 | R105 886,93
01/07/2026 | SHELL ULTRA CITY | -R427,33 | R105 459,60
02/07/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R4 800,00 | R100 659,60
03/07/2026 | DEBIT ORDER SANTAM | -R2 100,00 | R98 559,60
03/07/2026 | AUDI FINANCE INSTALMENT | -R12 500,00 | R86 059,60
03/07/2026 | UBER TRIP | -R2 599,98 | R83 459,62
03/07/2026 | CASH WITHDRAWAL ATM | -R500,00 | R82 959,62
04/07/2026 | DEBIT ORDER ALLAN GRAY UNIT TRUST | -R8 000,00 | R74 959,62
04/07/2026 | SPUR STEAK RANCH | -R420,18 | R74 539,44
04/07/2026 | SPUR STEAK RANCH | -R2 464,32 | R72 075,12
06/07/2026 | TOTAL SPORTS | -R1 280,66 | R70 794,46
06/07/2026 | CHECKERS UMHLANGA | -R218,49 | R70 575,97
08/07/2026 | AVIS RENT-A-CAR | -R597,36 | R69 978,61
09/07/2026 | TOTAL SPORTS | -R948,55 | R69 030,06
09/07/2026 | CASH WITHDRAWAL ATM | -R600,00 | R68 430,06
11/07/2026 | SPAR KLOOF | -R196,09 | R68 233,97
11/07/2026 | CHECKERS HYPER | -R862,89 | R67 371,08
12/07/2026 | PNP UMLAZI MEGA CITY | -R940,06 | R66 431,02
14/07/2026 | PAYMENT FROM T MOKOENA | R350,00 | R66 781,02
15/07/2026 | CHECKERS UMHLANGA | -R218,64 | R66 562,38
15/07/2026 | CARD PURCHASE ROMANS PIZZA | -R374,97 | R66 187,41
18/07/2026 | SHOPRITE | -R780,40 | R65 407,01
23/07/2026 | COTTON ON | -R715,15 | R64 691,86
24/07/2026 | RIDGE MEDICAL PARTNERS SALARY REF 12202607 | R85 000,00 | R149 691,86
24/07/2026 | DIS-CHEM | -R124,31 | R149 567,55
24/07/2026 | SPAR KLOOF | -R1 698,08 | R147 869,47
24/07/2026 | CASH WITHDRAWAL ATM | -R600,00 | R147 269,47
25/07/2026 | KFC | -R343,95 | R146 925,52
26/07/2026 | CHECKERS HYPER | -R450,46 | R146 475,06
30/07/2026 | CARD PURCHASE ROMANS PIZZA | -R497,56 | R145 977,50
31/07/2026 | SPAR SUPERSPAR | -R515,13 | R145 462,37
01/08/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R145 454,87
01/08/2026 | RENT PAYMENT MOUNT EDGECOMBE | -R22 000,00 | R123 454,87
02/08/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R4 800,00 | R118 654,87
03/08/2026 | DEBIT ORDER SANTAM | -R2 100,00 | R116 554,87
03/08/2026 | AUDI FINANCE INSTALMENT | -R12 500,00 | R104 054,87
04/08/2026 | DEBIT ORDER ALLAN GRAY UNIT TRUST | -R8 000,00 | R96 054,87
04/08/2026 | DIS-CHEM | -R1 068,02 | R94 986,85
05/08/2026 | UBER TRIP | -R555,29 | R94 431,56
06/08/2026 | UBER TRIP | -R953,23 | R93 478,33
07/08/2026 | WOOLWORTHS SANDTON | -R390,00 | R93 088,33
09/08/2026 | PAYMENT FROM T MOKOENA | R350,00 | R93 438,33
10/08/2026 | SPAR KLOOF | -R301,81 | R93 136,52
10/08/2026 | BOXER SUPERSTORES | -R849,58 | R92 286,94
11/08/2026 | MR PRICE | -R455,38 | R91 831,56
12/08/2026 | AVIS RENT-A-CAR | -R178,63 | R91 652,93
12/08/2026 | SPUR STEAK RANCH | -R540,25 | R91 112,68
13/08/2026 | MAKRO | -R1 721,47 | R89 391,21
13/08/2026 | CASH WITHDRAWAL ATM | -R500,00 | R88 891,21
16/08/2026 | SHELL ULTRA CITY | -R404,61 | R88 486,60
17/08/2026 | SPAR KLOOF | -R334,18 | R88 152,42
17/08/2026 | TAKEALOT.COM | -R2 240,89 | R85 911,53
19/08/2026 | SPAR SUPERSPAR | -R461,95 | R85 449,58
20/08/2026 | BOLT TRIP | -R145,49 | R85 304,09
24/08/2026 | UBER TRIP | -R398,08 | R84 906,01
25/08/2026 | RIDGE MEDICAL PARTNERS SALARY REF 12202608 | R85 000,00 | R169 906,01
26/08/2026 | SPAR KLOOF | -R2 712,10 | R167 193,91
26/08/2026 | CHECKERS HYPER | -R187,38 | R167 006,53
26/08/2026 | GAME STORES | -R210,01 | R166 796,52
28/08/2026 | UBER TRIP | -R800,91 | R165 995,61
29/08/2026 | POS PURCHASE BETHLEHEM SPAR | -R956,33 | R165 039,28
30/08/2026 | UBER TRIP | -R1 147,52 | R163 891,76
30/08/2026 | CASH WITHDRAWAL ATM | -R500,00 | R163 391,76
30/08/2026 | CASH WITHDRAWAL ATM | -R700,00 | R162 691,76
