Standard Bank - Transaction History
Account: 10220675020

Date,Details,Debit,Credit,Balance
02/04/2026,DEBIT ORDER OUTSURANCE,"1,450.00",,"18,682.76"
02/04/2026,SHOPRITE,145.14,,"18,537.62"
03/04/2026,DEBIT ORDER MOMENTUM RETIREMENT ANNUITY,"2,500.00",,"16,037.62"
03/04/2026,BMW FINANCE INSTALMENT,"6,900.00",,"9,137.62"
04/04/2026,DEBIT ORDER DSTV PREMIUM,929.00,,"8,208.62"
04/04/2026,CHECKERS HYPER,149.20,,"8,059.42"
06/04/2026,POS PURCHASE BETHLEHEM SPAR,37.02,,"8,022.40"
08/04/2026,BOLT TRIP,95.21,,"7,927.19"
10/04/2026,WOOLWORTHS FOOD,447.65,,"7,479.54"
12/04/2026,NETFLIX.COM,239.59,,"7,239.95"
12/04/2026,WOOLWORTHS FOOD,136.38,,"7,103.57"
13/04/2026,WOOLWORTHS FOOD,498.90,,"6,604.67"
14/04/2026,DIS-CHEM,115.68,,"6,488.99"
14/04/2026,MAKRO,91.63,,"6,397.36"
14/04/2026,MAKRO,165.42,,"6,231.94"
16/04/2026,CLICKS,459.86,,"5,772.08"
17/04/2026,MR PRICE,91.17,,"5,680.91"
17/04/2026,SHOPRITE,215.99,,"5,464.92"
17/04/2026,TAKEALOT.COM,60.32,,"5,404.60"
20/04/2026,SHOPRITE,293.60,,"5,111.00"
20/04/2026,ATM CASH WITHDRAWAL,"1,050.00",,"4,061.00"
21/04/2026,WOOLWORTHS FOOD,141.71,,"3,919.29"
22/04/2026,KFC,369.78,,"3,549.51"
22/04/2026,VODACOM PREPAID AIRTIME,172.47,,"3,377.04"
23/04/2026,NETFLIX.COM,67.21,,"3,309.83"
24/04/2026,MARLIN CHARTERED ACCOUNTANTS SALARY REF 10202604,,"35,000.00","38,309.83"
26/04/2026,PAYMENT TO SAVINGS POCKET,"4,000.00",,"34,309.83"
26/04/2026,NANDOS,78.66,,"34,231.17"
27/04/2026,PICK N PAY,135.47,,"34,095.70"
27/04/2026,ENGEN FUEL,323.67,,"33,772.03"
28/04/2026,COTTON ON,23.63,,"33,748.40"
30/04/2026,MR PRICE,173.33,,"33,575.07"
01/05/2026,MONTHLY ACCOUNT FEE,119.00,,"33,456.07"
01/05/2026,RENT PAYMENT LA LUCIA,"11,000.00",,"22,456.07"
01/05/2026,BOLT TRIP,182.41,,"22,273.66"
01/05/2026,GAME STORES,265.48,,"22,008.18"
02/05/2026,DEBIT ORDER OUTSURANCE,"1,450.00",,"20,558.18"
03/05/2026,DEBIT ORDER MOMENTUM RETIREMENT ANNUITY,"2,500.00",,"18,058.18"
03/05/2026,BMW FINANCE INSTALMENT,"6,900.00",,"11,158.18"
03/05/2026,CHECKERS HYPER,97.91,,"11,060.27"
04/05/2026,DEBIT ORDER DSTV PREMIUM,929.00,,"10,131.27"
06/05/2026,PEP STORES,171.06,,"9,960.21"
06/05/2026,CHECKERS HYPER,95.03,,"9,865.18"
07/05/2026,POS PURCHASE BETHLEHEM SPAR,223.49,,"9,641.69"
07/05/2026,NANDOS,75.88,,"9,565.81"
08/05/2026,NANDOS,180.62,,"9,385.19"
08/05/2026,KFC,177.28,,"9,207.91"
09/05/2026,SPAR SUPERSPAR,420.06,,"8,787.85"
11/05/2026,PICK N PAY,51.09,,"8,736.76"
12/05/2026,VODACOM PREPAID AIRTIME,160.43,,"8,576.33"
12/05/2026,MR PRICE,151.01,,"8,425.32"
13/05/2026,COTTON ON,235.57,,"8,189.75"
14/05/2026,CHECKERS HYPER,338.49,,"7,851.26"
15/05/2026,COTTON ON,244.43,,"7,606.83"
16/05/2026,ATM CASH WITHDRAWAL,600.00,,"7,006.83"
20/05/2026,SPUR STEAK RANCH,53.87,,"6,952.96"
20/05/2026,PICK N PAY,240.48,,"6,712.48"
20/05/2026,NANDOS,98.63,,"6,613.85"
21/05/2026,MR PRICE,175.97,,"6,437.88"
21/05/2026,AVIS RENT-A-CAR,438.79,,"5,999.09"
21/05/2026,CLICKS,99.52,,"5,899.57"
23/05/2026,NANDOS,110.91,,"5,788.66"
23/05/2026,SHELL ULTRA CITY,101.85,,"5,686.81"
25/05/2026,MARLIN CHARTERED ACCOUNTANTS SALARY REF 10202605,,"35,000.00","40,686.81"
26/05/2026,PAYMENT TO SAVINGS POCKET,"4,000.00",,"36,686.81"
29/05/2026,MR PRICE,36.83,,"36,649.98"
29/05/2026,CHECKERS HYPER,674.04,,"35,975.94"
29/05/2026,CARD PURCHASE ROMANS PIZZA,163.92,,"35,812.02"
31/05/2026,ATM CASH WITHDRAWAL,450.00,,"35,362.02"
01/06/2026,MONTHLY ACCOUNT FEE,119.00,,"35,243.02"
01/06/2026,RENT PAYMENT LA LUCIA,"11,000.00",,"24,243.02"
01/06/2026,AVIS RENT-A-CAR,209.57,,"24,033.45"
01/06/2026,ATM CASH WITHDRAWAL,450.00,,"23,583.45"
02/06/2026,DEBIT ORDER OUTSURANCE,"1,450.00",,"22,133.45"
02/06/2026,SHOPRITE,261.65,,"21,871.80"
02/06/2026,CHECKERS HYPER,273.52,,"21,598.28"
03/06/2026,DEBIT ORDER MOMENTUM RETIREMENT ANNUITY,"2,500.00",,"19,098.28"
03/06/2026,BMW FINANCE INSTALMENT,"6,900.00",,"12,198.28"
04/06/2026,DEBIT ORDER DSTV PREMIUM,929.00,,"11,269.28"
05/06/2026,UBER TRIP,150.31,,"11,118.97"
05/06/2026,SPAR SUPERSPAR,294.36,,"10,824.61"
08/06/2026,PEP STORES,53.98,,"10,770.63"
08/06/2026,SHELL ULTRA CITY,120.70,,"10,649.93"
09/06/2026,VODACOM PREPAID AIRTIME,135.54,,"10,514.39"
15/06/2026,BOLT TRIP,479.85,,"10,034.54"
18/06/2026,ATM CASH WITHDRAWAL,600.00,,"9,434.54"
19/06/2026,MAKRO,313.97,,"9,120.57"
23/06/2026,PEP STORES,306.16,,"8,814.41"
24/06/2026,SPAR SUPERSPAR,172.42,,"8,641.99"
25/06/2026,MARLIN CHARTERED ACCOUNTANTS SALARY REF 10202606,,"35,000.00","43,641.99"
25/06/2026,DIS-CHEM,"1,067.04",,"42,574.95"
25/06/2026,PICK N PAY,144.08,,"42,430.87"
26/06/2026,PAYMENT TO SAVINGS POCKET,"4,000.00",,"38,430.87"
27/06/2026,STEERS DRIVE THRU,363.13,,"38,067.74"
28/06/2026,TAKEALOT.COM,131.48,,"37,936.26"
28/06/2026,UBER TRIP,202.69,,"37,733.57"
28/06/2026,GAME STORES,228.10,,"37,505.47"
29/06/2026,BOLT TRIP,200.78,,"37,304.69"
29/06/2026,VODACOM PREPAID AIRTIME,153.40,,"37,151.29"
01/07/2026,MONTHLY ACCOUNT FEE,119.00,,"37,032.29"
01/07/2026,RENT PAYMENT LA LUCIA,"11,000.00",,"26,032.29"
02/07/2026,DEBIT ORDER OUTSURANCE,"1,450.00",,"24,582.29"
02/07/2026,NANDOS,404.47,,"24,177.82"
03/07/2026,DEBIT ORDER MOMENTUM RETIREMENT ANNUITY,"2,500.00",,"21,677.82"
03/07/2026,BMW FINANCE INSTALMENT,"6,900.00",,"14,777.82"
04/07/2026,DEBIT ORDER DSTV PREMIUM,929.00,,"13,848.82"
06/07/2026,ATM CASH WITHDRAWAL,650.00,,"13,198.82"
08/07/2026,SPUR STEAK RANCH,211.25,,"12,987.57"
09/07/2026,BOLT TRIP,193.99,,"12,793.58"
12/07/2026,BOLT TRIP,220.55,,"12,573.03"
13/07/2026,SHELL ULTRA CITY,316.58,,"12,256.45"
13/07/2026,SPUR STEAK RANCH,498.13,,"11,758.32"
14/07/2026,NETFLIX.COM,231.98,,"11,526.34"
14/07/2026,ATM CASH WITHDRAWAL,400.00,,"11,126.34"
15/07/2026,PAYMENT FROM T MOKOENA,,350.00,"11,476.34"
18/07/2026,NETFLIX.COM,146.89,,"11,329.45"
18/07/2026,GAME STORES,98.20,,"11,231.25"
19/07/2026,ENGEN FUEL,307.31,,"10,923.94"
20/07/2026,COTTON ON,517.46,,"10,406.48"
22/07/2026,SPUR STEAK RANCH,290.20,,"10,116.28"
22/07/2026,SHOPRITE,254.51,,"9,861.77"
22/07/2026,CHECKERS HYPER,135.92,,"9,725.85"
24/07/2026,MARLIN CHARTERED ACCOUNTANTS SALARY REF 10202607,,"35,000.00","44,725.85"
25/07/2026,SPAR SUPERSPAR,149.44,,"44,576.41"
26/07/2026,PAYMENT TO SAVINGS POCKET,"4,000.00",,"40,576.41"
27/07/2026,GAME STORES,461.07,,"40,115.34"
27/07/2026,AVIS RENT-A-CAR,353.70,,"39,761.64"
28/07/2026,SPUR STEAK RANCH,154.57,,"39,607.07"
28/07/2026,PICK N PAY,118.07,,"39,489.00"
30/07/2026,POS PURCHASE BETHLEHEM SPAR,39.97,,"39,449.03"
31/07/2026,SHELL ULTRA CITY,156.35,,"39,292.68"
01/08/2026,MONTHLY ACCOUNT FEE,119.00,,"39,173.68"
01/08/2026,RENT PAYMENT LA LUCIA,"11,000.00",,"28,173.68"
02/08/2026,DEBIT ORDER OUTSURANCE,"1,450.00",,"26,723.68"
03/08/2026,DEBIT ORDER MOMENTUM RETIREMENT ANNUITY,"2,500.00",,"24,223.68"
03/08/2026,BMW FINANCE INSTALMENT,"6,900.00",,"17,323.68"
03/08/2026,AVIS RENT-A-CAR,75.73,,"17,247.95"
03/08/2026,TOTAL SPORTS,574.14,,"16,673.81"
03/08/2026,WOOLWORTHS FOOD,210.04,,"16,463.77"
04/08/2026,DEBIT ORDER DSTV PREMIUM,929.00,,"15,534.77"
04/08/2026,AVIS RENT-A-CAR,149.34,,"15,385.43"
04/08/2026,PICK N PAY,333.17,,"15,052.26"
05/08/2026,CLICKS,263.57,,"14,788.69"
06/08/2026,GAME STORES,342.76,,"14,445.93"
07/08/2026,VODACOM PREPAID AIRTIME,657.39,,"13,788.54"
09/08/2026,PAYMENT FROM T MOKOENA,,350.00,"14,138.54"
13/08/2026,BOXER SUPERSTORES,425.69,,"13,712.85"
17/08/2026,CLICKS,774.49,,"12,938.36"
18/08/2026,PICK N PAY,160.20,,"12,778.16"
21/08/2026,BOXER SUPERSTORES,402.43,,"12,375.73"
22/08/2026,UBER TRIP,62.04,,"12,313.69"
24/08/2026,STEERS DRIVE THRU,200.64,,"12,113.05"
25/08/2026,MARLIN CHARTERED ACCOUNTANTS SALARY REF 10202608,,"35,000.00","47,113.05"
26/08/2026,PAYMENT TO SAVINGS POCKET,"4,000.00",,"43,113.05"
27/08/2026,NANDOS,149.47,,"42,963.58"
27/08/2026,ATM CASH WITHDRAWAL,"1,050.00",,"41,913.58"
29/08/2026,NANDOS,218.83,,"41,694.75"
31/08/2026,COTTON ON,242.24,,"41,452.51"
31/08/2026,SPAR SUPERSPAR,16.88,,"41,435.63"
