FNB Cheque Account Statement
Account Number: 09559990269

Date,Description,Amount,Balance
03/04/2026,SPUR STEAK RANCH,-176.98,11598.55
03/04/2026,WOOLWORTHS FOOD,-424.69,11173.86
04/04/2026,PLANET FITNESS DEBIT ORDER,-429.00,10744.86
04/04/2026,SPAR KLOOF,-690.05,10054.81
04/04/2026,MR PRICE,-314.60,9740.21
05/04/2026,WESTERN UNION REMITTANCE,-2500.00,7240.21
05/04/2026,PICK N PAY,-62.66,7177.55
06/04/2026,DIS-CHEM,-22.34,7155.21
06/04/2026,PAYMENT FROM T MOKOENA,350.00,7505.21
07/04/2026,NETFLIX.COM,-641.03,6864.18
09/04/2026,MAKRO,-52.17,6812.01
10/04/2026,WOOLWORTHS FOOD,-34.12,6777.89
11/04/2026,PEP STORES,-265.70,6512.19
12/04/2026,FNB ATM CASH WITHDRAWAL,-500.00,6012.19
13/04/2026,SPAR KLOOF,-31.21,5980.98
13/04/2026,COTTON ON,-843.51,5137.47
13/04/2026,TAKEALOT.COM,-84.96,5052.51
17/04/2026,WOOLWORTHS SANDTON,-171.18,4881.33
18/04/2026,SHOPRITE,-237.62,4643.71
19/04/2026,WOOLWORTHS SANDTON,-413.51,4230.20
19/04/2026,TOTAL SPORTS,-40.62,4189.58
20/04/2026,CHECKERS UMHLANGA,-324.52,3865.06
20/04/2026,FNB ATM CASH WITHDRAWAL,-650.00,3215.06
21/04/2026,DIS-CHEM,-312.78,2902.28
22/04/2026,CARD PURCHASE ROMANS PIZZA,-122.16,2780.12
23/04/2026,BOLT TRIP,-99.26,2680.86
24/04/2026,HARBOUR SYSTEMS (PTY) LTD SALARY REF 09202604,28000.00,30680.86
24/04/2026,PEP STORES,-53.81,30627.05
24/04/2026,ENGEN FUEL,-218.69,30408.36
26/04/2026,PAYMENT TO SAVINGS POCKET,-2000.00,28408.36
27/04/2026,BOLT TRIP,-29.20,28379.16
29/04/2026,SPUR STEAK RANCH,-401.07,27978.09
01/05/2026,MONTHLY ACCOUNT FEE,-109.00,27869.09
01/05/2026,RENTAL PAYMENT UMHLANGA RIDGE,-8500.00,19369.09
02/05/2026,DEBIT ORDER AFRIHOST FIBRE,-899.00,18470.09
03/05/2026,DEBIT ORDER DISCOVERY LIFE POLICY,-1100.00,17370.09
03/05/2026,CREDIT CARD PAYMENT,-3500.00,13870.09
04/05/2026,PLANET FITNESS DEBIT ORDER,-429.00,13441.09
04/05/2026,FNB ATM CASH WITHDRAWAL,-1100.00,12341.09
05/05/2026,WESTERN UNION REMITTANCE,-2500.00,9841.09
06/05/2026,GAME STORES,-1067.39,8773.70
07/05/2026,MAKRO,-75.55,8698.15
10/05/2026,COTTON ON,-217.76,8480.39
11/05/2026,PEP STORES,-70.89,8409.50
12/05/2026,NETFLIX.COM,-265.39,8144.11
12/05/2026,CARD PURCHASE ROMANS PIZZA,-206.33,7937.78
13/05/2026,VODACOM PREPAID AIRTIME,-37.16,7900.62
14/05/2026,KFC,-210.58,7690.04
14/05/2026,PNP UMLAZI MEGA CITY,-84.17,7605.87
15/05/2026,VODACOM PREPAID AIRTIME,-288.23,7317.64
17/05/2026,WOOLWORTHS FOOD,-99.30,7218.34
17/05/2026,COTTON ON,-93.11,7125.23
20/05/2026,NANDOS,-407.08,6718.15
21/05/2026,CHECKERS HYPER,-574.05,6144.10
22/05/2026,PEP STORES,-128.74,6015.36
23/05/2026,NETFLIX.COM,-103.36,5912.00
24/05/2026,BOXER SUPERSTORES,-113.20,5798.80
24/05/2026,MAKRO,-398.39,5400.41
25/05/2026,HARBOUR SYSTEMS (PTY) LTD SALARY REF 09202605,28000.00,33400.41
25/05/2026,BOLT TRIP,-280.80,33119.61
26/05/2026,PAYMENT TO SAVINGS POCKET,-2000.00,31119.61
26/05/2026,TAKEALOT.COM,-92.95,31026.66
26/05/2026,SHELL ULTRA CITY,-49.75,30976.91
27/05/2026,MAKRO,-220.54,30756.37
28/05/2026,SHELL ULTRA CITY,-171.61,30584.76
29/05/2026,MR PRICE,-482.62,30102.14
29/05/2026,DIS-CHEM,-93.31,30008.83
30/05/2026,COTTON ON,-340.73,29668.10
01/06/2026,MONTHLY ACCOUNT FEE,-109.00,29559.10
01/06/2026,RENTAL PAYMENT UMHLANGA RIDGE,-8500.00,21059.10
01/06/2026,SPAR KLOOF,-142.03,20917.07
02/06/2026,DEBIT ORDER AFRIHOST FIBRE,-899.00,20018.07
02/06/2026,CHECKERS UMHLANGA,-294.71,19723.36
03/06/2026,DEBIT ORDER DISCOVERY LIFE POLICY,-1100.00,18623.36
03/06/2026,CREDIT CARD PAYMENT,-3500.00,15123.36
04/06/2026,PLANET FITNESS DEBIT ORDER,-429.00,14694.36
04/06/2026,SPUR STEAK RANCH,-298.81,14395.55
04/06/2026,SPAR KLOOF,-637.65,13757.90
05/06/2026,WESTERN UNION REMITTANCE,-2500.00,11257.90
06/06/2026,NANDOS,-479.02,10778.88
07/06/2026,TOTAL SPORTS,-70.74,10708.14
07/06/2026,NETFLIX.COM,-271.16,10436.98
08/06/2026,CLICKS,-43.92,10393.06
10/06/2026,COTTON ON,-576.08,9816.98
10/06/2026,CHECKERS UMHLANGA,-47.75,9769.23
13/06/2026,FNB ATM CASH WITHDRAWAL,-1100.00,8669.23
14/06/2026,WOOLWORTHS FOOD,-171.62,8497.61
14/06/2026,WOOLWORTHS FOOD,-428.48,8069.13
16/06/2026,SPAR SUPERSPAR,-238.93,7830.20
17/06/2026,SPUR STEAK RANCH,-221.32,7608.88
17/06/2026,STEERS DRIVE THRU,-75.19,7533.69
18/06/2026,COTTON ON,-161.99,7371.70
19/06/2026,CARD PURCHASE ROMANS PIZZA,-109.56,7262.14
20/06/2026,VODACOM PREPAID AIRTIME,-537.91,6724.23
21/06/2026,PICK N PAY,-162.29,6561.94
22/06/2026,VODACOM PREPAID AIRTIME,-203.08,6358.86
23/06/2026,NANDOS,-146.40,6212.46
24/06/2026,CHECKERS HYPER,-143.47,6068.99
24/06/2026,AVIS RENT-A-CAR,-709.36,5359.63
25/06/2026,HARBOUR SYSTEMS (PTY) LTD SALARY REF 09202606,28000.00,33359.63
26/06/2026,PAYMENT TO SAVINGS POCKET,-2000.00,31359.63
01/07/2026,MONTHLY ACCOUNT FEE,-109.00,31250.63
01/07/2026,RENTAL PAYMENT UMHLANGA RIDGE,-8500.00,22750.63
01/07/2026,UBER TRIP,-350.04,22400.59
02/07/2026,DEBIT ORDER AFRIHOST FIBRE,-899.00,21501.59
03/07/2026,DEBIT ORDER DISCOVERY LIFE POLICY,-1100.00,20401.59
03/07/2026,CREDIT CARD PAYMENT,-3500.00,16901.59
04/07/2026,PLANET FITNESS DEBIT ORDER,-429.00,16472.59
05/07/2026,WESTERN UNION REMITTANCE,-2500.00,13972.59
05/07/2026,TAKEALOT.COM,-1098.95,12873.64
06/07/2026,AVIS RENT-A-CAR,-224.32,12649.32
10/07/2026,SHOPRITE,-106.75,12542.57
11/07/2026,TOTAL SPORTS,-258.74,12283.83
13/07/2026,FNB ATM CASH WITHDRAWAL,-450.00,11833.83
16/07/2026,FNB ATM CASH WITHDRAWAL,-400.00,11433.83
16/07/2026,FNB ATM CASH WITHDRAWAL,-300.00,11133.83
18/07/2026,MAKRO,-117.33,11016.50
18/07/2026,PAYMENT FROM T MOKOENA,350.00,11366.50
20/07/2026,WOOLWORTHS FOOD,-236.19,11130.31
23/07/2026,BOLT TRIP,-714.62,10415.69
24/07/2026,HARBOUR SYSTEMS (PTY) LTD SALARY REF 09202607,28000.00,38415.69
24/07/2026,SHELL ULTRA CITY,-565.14,37850.55
26/07/2026,PAYMENT TO SAVINGS POCKET,-2000.00,35850.55
26/07/2026,PEP STORES,-278.22,35572.33
27/07/2026,SPAR KLOOF,-567.45,35004.88
28/07/2026,TOTAL SPORTS,-176.09,34828.79
30/07/2026,GAME STORES,-962.27,33866.52
30/07/2026,SPUR STEAK RANCH,-508.31,33358.21
01/08/2026,MONTHLY ACCOUNT FEE,-109.00,33249.21
01/08/2026,RENTAL PAYMENT UMHLANGA RIDGE,-8500.00,24749.21
02/08/2026,DEBIT ORDER AFRIHOST FIBRE,-899.00,23850.21
03/08/2026,DEBIT ORDER DISCOVERY LIFE POLICY,-1100.00,22750.21
03/08/2026,CREDIT CARD PAYMENT,-3500.00,19250.21
03/08/2026,SPAR KLOOF,-244.77,19005.44
04/08/2026,PLANET FITNESS DEBIT ORDER,-429.00,18576.44
04/08/2026,MR PRICE,-200.87,18375.57
04/08/2026,BOXER SUPERSTORES,-398.60,17976.97
05/08/2026,WESTERN UNION REMITTANCE,-2500.00,15476.97
05/08/2026,COTTON ON,-585.22,14891.75
09/08/2026,SHOPRITE,-201.01,14690.74
09/08/2026,DIS-CHEM,-251.80,14438.94
10/08/2026,DIS-CHEM,-194.92,14244.02
11/08/2026,FNB ATM CASH WITHDRAWAL,-500.00,13744.02
12/08/2026,POS PURCHASE BETHLEHEM SPAR,-248.63,13495.39
16/08/2026,NETFLIX.COM,-803.64,12691.75
16/08/2026,WOOLWORTHS FOOD,-82.31,12609.44
16/08/2026,STEERS DRIVE THRU,-173.93,12435.51
17/08/2026,STEERS DRIVE THRU,-149.88,12285.63
20/08/2026,PEP STORES,-468.09,11817.54
21/08/2026,SHOPRITE,-1160.10,10657.44
21/08/2026,FNB ATM CASH WITHDRAWAL,-650.00,10007.44
25/08/2026,HARBOUR SYSTEMS (PTY) LTD SALARY REF 09202608,28000.00,38007.44
26/08/2026,PAYMENT TO SAVINGS POCKET,-2000.00,36007.44
27/08/2026,CHECKERS HYPER,-283.50,35723.94
28/08/2026,AVIS RENT-A-CAR,-170.23,35553.71
31/08/2026,CARD PURCHASE ROMANS PIZZA,-389.70,35164.01
31/08/2026,SHOPRITE,-161.88,35002.13
