Standard Bank - Transaction History
Account: 07100651223

Date,Details,Debit,Credit,Balance
02/05/2026,GAME STORES,380.44,,"11,981.60"
03/05/2026,DEBIT ORDER MTN CONTRACT,649.00,,"11,332.60"
03/05/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"7,442.60"
03/05/2026,DIS-CHEM,96.94,,"7,345.66"
03/05/2026,TOTAL SPORTS,558.08,,"6,787.58"
04/05/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"3,587.58"
04/05/2026,NETFLIX.COM,358.77,,"3,228.81"
04/05/2026,AVIS RENT-A-CAR,46.10,,"3,182.71"
04/05/2026,UBER TRIP,80.38,,"3,102.33"
07/05/2026,PEP STORES,47.36,,"3,054.97"
07/05/2026,CLICKS,35.67,,"3,019.30"
07/05/2026,KFC,100.09,,"2,919.21"
12/05/2026,TAKEALOT.COM,66.16,,"2,853.05"
13/05/2026,CARD PURCHASE ROMANS PIZZA,80.80,,"2,772.25"
14/05/2026,TAKEALOT.COM,224.53,,"2,547.72"
15/05/2026,SHOPRITE,418.32,,"2,129.40"
15/05/2026,SPUR STEAK RANCH,82.99,,"2,046.41"
16/05/2026,DIS-CHEM,100.45,,"1,945.96"
17/05/2026,ATM CASH WITHDRAWAL,"1,100.00",,845.96
19/05/2026,KFC,118.70,,727.26
20/05/2026,KFC,25.14,,702.12
22/05/2026,CARD PURCHASE ROMANS PIZZA,44.44,,657.68
22/05/2026,ENGEN FUEL,115.44,,542.24
23/05/2026,MR PRICE,17.36,,524.88
23/05/2026,DIS-CHEM,39.93,,484.95
25/05/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202605,,"22,300.00","22,784.95"
26/05/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"21,784.95"
26/05/2026,PEP STORES,37.80,,"21,747.15"
27/05/2026,KFC,41.60,,"21,705.55"
28/05/2026,SPAR SUPERSPAR,90.88,,"21,614.67"
31/05/2026,ENGEN FUEL,98.04,,"21,516.63"
31/05/2026,SPUR STEAK RANCH,52.87,,"21,463.76"
01/06/2026,MONTHLY ACCOUNT FEE,119.00,,"21,344.76"
01/06/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"13,844.76"
02/06/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"13,064.76"
02/06/2026,CHECKERS HYPER,15.30,,"13,049.46"
02/06/2026,STEERS DRIVE THRU,488.47,,"12,560.99"
03/06/2026,DEBIT ORDER MTN CONTRACT,649.00,,"11,911.99"
03/06/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"8,021.99"
03/06/2026,COTTON ON,26.36,,"7,995.63"
03/06/2026,CLICKS,51.07,,"7,944.56"
04/06/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"4,744.56"
05/06/2026,PEP STORES,105.31,,"4,639.25"
06/06/2026,BOXER SUPERSTORES,35.84,,"4,603.41"
08/06/2026,NETFLIX.COM,29.71,,"4,573.70"
09/06/2026,NANDOS,109.04,,"4,464.66"
10/06/2026,PEP STORES,275.65,,"4,189.01"
11/06/2026,STEERS DRIVE THRU,82.47,,"4,106.54"
12/06/2026,POS PURCHASE BETHLEHEM SPAR,100.47,,"4,006.07"
13/06/2026,NETFLIX.COM,40.02,,"3,966.05"
13/06/2026,MR PRICE,71.90,,"3,894.15"
14/06/2026,PAYMENT FROM T MOKOENA,,350.00,"4,244.15"
15/06/2026,PEP STORES,232.79,,"4,011.36"
17/06/2026,CLICKS,85.66,,"3,925.70"
17/06/2026,UBER TRIP,125.33,,"3,800.37"
18/06/2026,KFC,102.35,,"3,698.02"
19/06/2026,NANDOS,80.26,,"3,617.76"
20/06/2026,SHOPRITE,80.85,,"3,536.91"
20/06/2026,POS PURCHASE BETHLEHEM SPAR,52.48,,"3,484.43"
21/06/2026,PICK N PAY,101.00,,"3,383.43"
21/06/2026,ATM CASH WITHDRAWAL,550.00,,"2,833.43"
21/06/2026,ATM CASH WITHDRAWAL,550.00,,"2,283.43"
23/06/2026,AVIS RENT-A-CAR,130.84,,"2,152.59"
25/06/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202606,,"22,300.00","24,452.59"
26/06/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"23,452.59"
26/06/2026,NETFLIX.COM,63.14,,"23,389.45"
27/06/2026,VODACOM PREPAID AIRTIME,139.81,,"23,249.64"
28/06/2026,DIS-CHEM,142.74,,"23,106.90"
28/06/2026,SHELL ULTRA CITY,358.66,,"22,748.24"
29/06/2026,DIS-CHEM,231.96,,"22,516.28"
01/07/2026,MONTHLY ACCOUNT FEE,119.00,,"22,397.28"
01/07/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"14,897.28"
01/07/2026,MAKRO,41.10,,"14,856.18"
02/07/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"14,076.18"
03/07/2026,DEBIT ORDER MTN CONTRACT,649.00,,"13,427.18"
03/07/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"9,537.18"
04/07/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"6,337.18"
04/07/2026,BOXER SUPERSTORES,52.02,,"6,285.16"
05/07/2026,WOOLWORTHS FOOD,65.23,,"6,219.93"
06/07/2026,MR PRICE,286.55,,"5,933.38"
07/07/2026,ENGEN FUEL,164.66,,"5,768.72"
08/07/2026,SPAR SUPERSPAR,142.40,,"5,626.32"
09/07/2026,WOOLWORTHS FOOD,379.87,,"5,246.45"
10/07/2026,VODACOM PREPAID AIRTIME,96.22,,"5,150.23"
10/07/2026,POS PURCHASE BETHLEHEM SPAR,17.07,,"5,133.16"
11/07/2026,NETFLIX.COM,709.50,,"4,423.66"
11/07/2026,PICK N PAY,"1,197.25",,"3,226.41"
11/07/2026,POS PURCHASE BETHLEHEM SPAR,49.40,,"3,177.01"
16/07/2026,ATM CASH WITHDRAWAL,"1,100.00",,"2,077.01"
23/07/2026,ENGEN FUEL,52.11,,"2,024.90"
24/07/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202607,,"22,300.00","24,324.90"
26/07/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"23,324.90"
27/07/2026,KFC,97.50,,"23,227.40"
01/08/2026,MONTHLY ACCOUNT FEE,119.00,,"23,108.40"
01/08/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"15,608.40"
02/08/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"14,828.40"
03/08/2026,DEBIT ORDER MTN CONTRACT,649.00,,"14,179.40"
03/08/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"10,289.40"
03/08/2026,KFC,106.51,,"10,182.89"
04/08/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"6,982.89"
08/08/2026,NETFLIX.COM,215.59,,"6,767.30"
08/08/2026,BOLT TRIP,138.56,,"6,628.74"
09/08/2026,BOLT TRIP,206.54,,"6,422.20"
12/08/2026,MAKRO,109.37,,"6,312.83"
12/08/2026,AVIS RENT-A-CAR,534.07,,"5,778.76"
13/08/2026,DIS-CHEM,270.83,,"5,507.93"
13/08/2026,KFC,35.76,,"5,472.17"
14/08/2026,UBER TRIP,172.36,,"5,299.81"
14/08/2026,SHOPRITE,205.02,,"5,094.79"
15/08/2026,WOOLWORTHS FOOD,285.67,,"4,809.12"
16/08/2026,MR PRICE,162.06,,"4,647.06"
17/08/2026,UBER TRIP,144.19,,"4,502.87"
18/08/2026,DIS-CHEM,149.42,,"4,353.45"
22/08/2026,MAKRO,113.02,,"4,240.43"
23/08/2026,SHELL ULTRA CITY,67.61,,"4,172.82"
25/08/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202608,,"22,300.00","26,472.82"
25/08/2026,GAME STORES,162.10,,"26,310.72"
26/08/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"25,310.72"
28/08/2026,KFC,125.55,,"25,185.17"
28/08/2026,CHECKERS HYPER,149.62,,"25,035.55"
31/08/2026,ATM CASH WITHDRAWAL,"1,100.00",,"23,935.55"
