Absa Bank Limited - Statement of Account
Account number 11224642999

Transaction Date,Description,Amount (R),Balance (R)
01/05/2026,RENT PAYMENT HILLCREST ESTATE,"-14 000,00","-26 211,70"
02/05/2026,DEBIT ORDER LIBERTY POLICY,"-1 800,00","-28 011,70"
02/05/2026,CHECKERS HYPER,"-1 342,81","-29 354,51"
03/05/2026,DEBIT ORDER VODACOM,"-1 299,00","-30 653,51"
03/05/2026,WESBANK VEHICLE FINANCE,"-9 800,00","-40 453,51"
04/05/2026,DEBIT ORDER VIRGIN ACTIVE,"-999,00","-41 452,51"
04/05/2026,PERSONAL LOAN REPAYMENT NEDBANK,"-4 200,00","-45 652,51"
09/05/2026,ENGEN FUEL,"-1 050,66","-46 703,17"
11/05/2026,MR PRICE,"-843,03","-47 546,20"
12/05/2026,ABSA ATM CASH WITHDRAWAL,"-600,00","-48 146,20"
14/05/2026,COTTON ON,"-1 745,89","-49 892,09"
15/05/2026,PEP STORES,"-248,70","-50 140,79"
16/05/2026,SPAR SUPERSPAR,"-440,16","-50 580,95"
16/05/2026,UBER TRIP,"-1 070,51","-51 651,46"
16/05/2026,PAYMENT FROM T MOKOENA,"350,00","-51 301,46"
17/05/2026,TOTAL SPORTS,"-293,85","-51 595,31"
22/05/2026,PICK N PAY,"-448,47","-52 043,78"
24/05/2026,KFC,"-835,89","-52 879,67"
25/05/2026,TRIDENT CONSULTING ENGINEERS SALARY REF 11202605,"45 000,00","-7 879,67"
25/05/2026,TAKEALOT.COM,"-168,56","-8 048,23"
26/05/2026,STEERS DRIVE THRU,"-683,57","-8 731,80"
28/05/2026,NANDOS,"-1 185,13","-9 916,93"
29/05/2026,SHELL ULTRA CITY,"-559,64","-10 476,57"
30/05/2026,ABSA ATM CASH WITHDRAWAL,"-1 000,00","-11 476,57"
30/05/2026,ABSA ATM CASH WITHDRAWAL,"-650,00","-12 126,57"
31/05/2026,NANDOS,"-381,28","-12 507,85"
31/05/2026,MR PRICE,"-1 308,32","-13 816,17"
01/06/2026,MONTHLY ACCOUNT FEE,"-99,00","-13 915,17"
01/06/2026,RENT PAYMENT HILLCREST ESTATE,"-14 000,00","-27 915,17"
01/06/2026,CHECKERS HYPER,"-788,80","-28 703,97"
02/06/2026,DEBIT ORDER LIBERTY POLICY,"-1 800,00","-30 503,97"
02/06/2026,CLICKS,"-953,67","-31 457,64"
03/06/2026,DEBIT ORDER VODACOM,"-1 299,00","-32 756,64"
03/06/2026,WESBANK VEHICLE FINANCE,"-9 800,00","-42 556,64"
04/06/2026,DEBIT ORDER VIRGIN ACTIVE,"-999,00","-43 555,64"
04/06/2026,PERSONAL LOAN REPAYMENT NEDBANK,"-4 200,00","-47 755,64"
04/06/2026,CHECKERS HYPER,"-318,44","-48 074,08"
04/06/2026,TOTAL SPORTS,"-249,53","-48 323,61"
04/06/2026,PEP STORES,"-750,94","-49 074,55"
04/06/2026,BOXER SUPERSTORES,"-1 178,74","-50 253,29"
06/06/2026,ENGEN FUEL,"-1 199,88","-51 453,17"
07/06/2026,SPAR SUPERSPAR,"-948,03","-52 401,20"
07/06/2026,SPAR SUPERSPAR,"-302,56","-52 703,76"
11/06/2026,CARD PURCHASE ROMANS PIZZA,"-544,56","-53 248,32"
11/06/2026,ABSA ATM CASH WITHDRAWAL,"-2 250,00","-55 498,32"
17/06/2026,CLICKS,"-808,67","-56 306,99"
18/06/2026,SPUR STEAK RANCH,"-149,62","-56 456,61"
19/06/2026,PICK N PAY,"-855,75","-57 312,36"
22/06/2026,TOTAL SPORTS,"-448,88","-57 761,24"
22/06/2026,COTTON ON,"-1 281,14","-59 042,38"
23/06/2026,PEP STORES,"-1 487,42","-60 529,80"
25/06/2026,TRIDENT CONSULTING ENGINEERS SALARY REF 11202606,"45 000,00","-15 529,80"
26/06/2026,SHELL ULTRA CITY,"-342,61","-15 872,41"
01/07/2026,MONTHLY ACCOUNT FEE,"-99,00","-15 971,41"
01/07/2026,RENT PAYMENT HILLCREST ESTATE,"-14 000,00","-29 971,41"
01/07/2026,NANDOS,"-387,94","-30 359,35"
01/07/2026,DIS-CHEM,"-205,14","-30 564,49"
02/07/2026,DEBIT ORDER LIBERTY POLICY,"-1 800,00","-32 364,49"
02/07/2026,KFC,"-345,21","-32 709,70"
02/07/2026,COTTON ON,"-383,36","-33 093,06"
02/07/2026,SHOPRITE,"-327,98","-33 421,04"
03/07/2026,DEBIT ORDER VODACOM,"-1 299,00","-34 720,04"
03/07/2026,WESBANK VEHICLE FINANCE,"-9 800,00","-44 520,04"
03/07/2026,MR PRICE,"-556,43","-45 076,47"
04/07/2026,DEBIT ORDER VIRGIN ACTIVE,"-999,00","-46 075,47"
04/07/2026,PERSONAL LOAN REPAYMENT NEDBANK,"-4 200,00","-50 275,47"
04/07/2026,CLICKS,"-1 131,66","-51 407,13"
04/07/2026,AVIS RENT-A-CAR,"-383,69","-51 790,82"
05/07/2026,SHOPRITE,"-281,45","-52 072,27"
07/07/2026,DIS-CHEM,"-222,00","-52 294,27"
07/07/2026,NETFLIX.COM,"-215,85","-52 510,12"
08/07/2026,NANDOS,"-195,25","-52 705,37"
08/07/2026,WOOLWORTHS FOOD,"-658,02","-53 363,39"
08/07/2026,ABSA ATM CASH WITHDRAWAL,"-2 250,00","-55 613,39"
08/07/2026,PAYMENT FROM T MOKOENA,"350,00","-55 263,39"
10/07/2026,NETFLIX.COM,"-239,92","-55 503,31"
11/07/2026,SPAR SUPERSPAR,"-1 124,11","-56 627,42"
11/07/2026,NANDOS,"-54,70","-56 682,12"
14/07/2026,SHOPRITE,"-115,70","-56 797,82"
16/07/2026,NETFLIX.COM,"-562,24","-57 360,06"
17/07/2026,BOXER SUPERSTORES,"-679,08","-58 039,14"
19/07/2026,CLICKS,"-336,07","-58 375,21"
21/07/2026,MR PRICE,"-306,71","-58 681,92"
21/07/2026,ENGEN FUEL,"-784,35","-59 466,27"
21/07/2026,AVIS RENT-A-CAR,"-656,03","-60 122,30"
22/07/2026,PEP STORES,"-1 080,21","-61 202,51"
24/07/2026,TRIDENT CONSULTING ENGINEERS SALARY REF 11202607,"45 000,00","-16 202,51"
25/07/2026,UBER TRIP,"-308,36","-16 510,87"
28/07/2026,MR PRICE,"-452,23","-16 963,10"
29/07/2026,CARD PURCHASE ROMANS PIZZA,"-620,95","-17 584,05"
01/08/2026,MONTHLY ACCOUNT FEE,"-99,00","-17 683,05"
01/08/2026,RENT PAYMENT HILLCREST ESTATE,"-14 000,00","-31 683,05"
01/08/2026,NETFLIX.COM,"-469,48","-32 152,53"
02/08/2026,DEBIT ORDER LIBERTY POLICY,"-1 800,00","-33 952,53"
02/08/2026,MAKRO,"-373,72","-34 326,25"
03/08/2026,DEBIT ORDER VODACOM,"-1 299,00","-35 625,25"
03/08/2026,WESBANK VEHICLE FINANCE,"-9 800,00","-45 425,25"
04/08/2026,DEBIT ORDER VIRGIN ACTIVE,"-999,00","-46 424,25"
04/08/2026,PERSONAL LOAN REPAYMENT NEDBANK,"-4 200,00","-50 624,25"
04/08/2026,POS PURCHASE BETHLEHEM SPAR,"-670,80","-51 295,05"
06/08/2026,SPAR SUPERSPAR,"-429,96","-51 725,01"
07/08/2026,MAKRO,"-952,61","-52 677,62"
08/08/2026,PICK N PAY,"-304,54","-52 982,16"
08/08/2026,MAKRO,"-423,69","-53 405,85"
09/08/2026,CARD PURCHASE ROMANS PIZZA,"-140,10","-53 545,95"
09/08/2026,KFC,"-112,16","-53 658,11"
10/08/2026,MR PRICE,"-651,28","-54 309,39"
11/08/2026,DIS-CHEM,"-1 046,35","-55 355,74"
13/08/2026,CHECKERS HYPER,"-187,33","-55 543,07"
14/08/2026,SHELL ULTRA CITY,"-74,67","-55 617,74"
15/08/2026,DIS-CHEM,"-1 325,48","-56 943,22"
15/08/2026,BOXER SUPERSTORES,"-208,33","-57 151,55"
18/08/2026,ABSA ATM CASH WITHDRAWAL,"-600,00","-57 751,55"
21/08/2026,ABSA ATM CASH WITHDRAWAL,"-750,00","-58 501,55"
22/08/2026,SHELL ULTRA CITY,"-127,16","-58 628,71"
22/08/2026,TOTAL SPORTS,"-175,71","-58 804,42"
23/08/2026,MR PRICE,"-543,49","-59 347,91"
23/08/2026,AVIS RENT-A-CAR,"-281,94","-59 629,85"
25/08/2026,TRIDENT CONSULTING ENGINEERS SALARY REF 11202608,"45 000,00","-14 629,85"
25/08/2026,GAME STORES,"-413,60","-15 043,45"
26/08/2026,ABSA ATM CASH WITHDRAWAL,"-850,00","-15 893,45"
27/08/2026,MAKRO,"-1 058,64","-16 952,09"
27/08/2026,AVIS RENT-A-CAR,"-256,84","-17 208,93"
27/08/2026,POS PURCHASE BETHLEHEM SPAR,"-71,61","-17 280,54"
28/08/2026,SHOPRITE,"-1 319,73","-18 600,27"
28/08/2026,SHELL ULTRA CITY,"-206,68","-18 806,95"
28/08/2026,VODACOM PREPAID AIRTIME,"-787,75","-19 594,70"
