Absa Bank Limited - Statement of Account
Account number 08403329046

Transaction Date,Description,Amount (R),Balance (R)
19/05/2026,CARD PURCHASE ROMANS PIZZA,"-189,36","-13 567,65"
19/05/2026,PEP STORES,"-53,35","-13 621,00"
20/05/2026,DIS-CHEM,"-112,56","-13 733,56"
21/05/2026,AVIS RENT-A-CAR,"-110,85","-13 844,41"
22/05/2026,CLICKS,"-72,11","-13 916,52"
23/05/2026,MAKRO,"-46,87","-13 963,39"
25/05/2026,KINGFISHER PHARMA DISTRIBUTION SALARY REF 08202605,"21 706,05","7 742,66"
25/05/2026,UBER TRIP,"-74,93","7 667,73"
30/05/2026,MR PRICE,"-53,82","7 613,91"
30/05/2026,TAKEALOT.COM,"-27,02","7 586,89"
01/06/2026,MONTHLY ACCOUNT FEE,"-99,00","7 487,89"
01/06/2026,RENT MUSGRAVE COURT,"-7 000,00","487,89"
01/06/2026,SPUR STEAK RANCH,"-102,21","385,68"
02/06/2026,DEBIT ORDER SANTAM CAR INSURANCE,"-1 290,00","-904,32"
03/06/2026,DEBIT ORDER RAIN 5G,"-599,00","-1 503,32"
03/06/2026,MFC VEHICLE FINANCE,"-4 200,00","-5 703,32"
03/06/2026,ABSA ATM CASH WITHDRAWAL,"-200,00","-5 903,32"
04/06/2026,TAKEALOT.COM,"-234,02","-6 137,34"
04/06/2026,UBER TRIP,"-28,97","-6 166,31"
05/06/2026,WOOLWORTHS FOOD,"-94,88","-6 261,19"
05/06/2026,GAME STORES,"-83,22","-6 344,41"
06/06/2026,ABSA ATM CASH WITHDRAWAL,"-500,00","-6 844,41"
10/06/2026,CARD PURCHASE ROMANS PIZZA,"-259,48","-7 103,89"
10/06/2026,ABSA ATM CASH WITHDRAWAL,"-250,00","-7 353,89"
10/06/2026,PAYMENT FROM T MOKOENA,"350,00","-7 003,89"
16/06/2026,SHELL ULTRA CITY,"-34,90","-7 038,79"
18/06/2026,CLICKS,"-445,82","-7 484,61"
19/06/2026,TOTAL SPORTS,"-423,03","-7 907,64"
19/06/2026,NANDOS,"-154,69","-8 062,33"
23/06/2026,GAME STORES,"-286,84","-8 349,17"
24/06/2026,PEP STORES,"-165,96","-8 515,13"
24/06/2026,PICK N PAY,"-84,56","-8 599,69"
24/06/2026,VODACOM PREPAID AIRTIME,"-263,12","-8 862,81"
25/06/2026,KINGFISHER PHARMA DISTRIBUTION SALARY REF 08202606,"14 244,47","5 381,66"
25/06/2026,PEP STORES,"-196,49","5 185,17"
28/06/2026,AVIS RENT-A-CAR,"-31,17","5 154,00"
01/07/2026,MONTHLY ACCOUNT FEE,"-99,00","5 055,00"
01/07/2026,RENT MUSGRAVE COURT,"-7 000,00","-1 945,00"
01/07/2026,ABSA ATM CASH WITHDRAWAL,"-600,00","-2 545,00"
02/07/2026,DEBIT ORDER SANTAM CAR INSURANCE,"-1 290,00","-3 835,00"
03/07/2026,DEBIT ORDER RAIN 5G,"-599,00","-4 434,00"
03/07/2026,MFC VEHICLE FINANCE,"-4 200,00","-8 634,00"
03/07/2026,MAKRO,"-115,86","-8 749,86"
03/07/2026,KFC,"-115,83","-8 865,69"
03/07/2026,BOLT TRIP,"-131,26","-8 996,95"
05/07/2026,STEERS DRIVE THRU,"-223,89","-9 220,84"
06/07/2026,PICK N PAY,"-99,12","-9 319,96"
10/07/2026,BOLT TRIP,"-18,62","-9 338,58"
11/07/2026,PEP STORES,"-133,37","-9 471,95"
13/07/2026,MAKRO,"-49,47","-9 521,42"
14/07/2026,ABSA ATM CASH WITHDRAWAL,"-200,00","-9 721,42"
15/07/2026,CHECKERS HYPER,"-277,07","-9 998,49"
15/07/2026,CHECKERS HYPER,"-212,56","-10 211,05"
16/07/2026,SPUR STEAK RANCH,"-98,47","-10 309,52"
16/07/2026,SHELL ULTRA CITY,"-120,93","-10 430,45"
17/07/2026,SHELL ULTRA CITY,"-118,80","-10 549,25"
18/07/2026,PAYMENT FROM T MOKOENA,"350,00","-10 199,25"
19/07/2026,VODACOM PREPAID AIRTIME,"-40,08","-10 239,33"
19/07/2026,NETFLIX.COM,"-189,70","-10 429,03"
21/07/2026,ABSA ATM CASH WITHDRAWAL,"-150,00","-10 579,03"
23/07/2026,CARD PURCHASE ROMANS PIZZA,"-155,57","-10 734,60"
24/07/2026,KINGFISHER PHARMA DISTRIBUTION SALARY REF 08202607,"16 459,19","5 724,59"
24/07/2026,TOTAL SPORTS,"-98,02","5 626,57"
27/07/2026,CARD PURCHASE ROMANS PIZZA,"-175,70","5 450,87"
29/07/2026,PICK N PAY,"-175,54","5 275,33"
31/07/2026,TOTAL SPORTS,"-51,10","5 224,23"
31/07/2026,ENGEN FUEL,"-288,93","4 935,30"
01/08/2026,MONTHLY ACCOUNT FEE,"-99,00","4 836,30"
01/08/2026,RENT MUSGRAVE COURT,"-7 000,00","-2 163,70"
02/08/2026,DEBIT ORDER SANTAM CAR INSURANCE,"-1 290,00","-3 453,70"
02/08/2026,TOTAL SPORTS,"-63,47","-3 517,17"
03/08/2026,DEBIT ORDER RAIN 5G,"-599,00","-4 116,17"
03/08/2026,MFC VEHICLE FINANCE,"-4 200,00","-8 316,17"
03/08/2026,SPUR STEAK RANCH,"-222,80","-8 538,97"
05/08/2026,SHOPRITE,"-54,49","-8 593,46"
05/08/2026,SHOPRITE,"-37,06","-8 630,52"
06/08/2026,SPUR STEAK RANCH,"-19,71","-8 650,23"
08/08/2026,PICK N PAY,"-45,98","-8 696,21"
09/08/2026,CLICKS,"-557,51","-9 253,72"
09/08/2026,AVIS RENT-A-CAR,"-33,31","-9 287,03"
12/08/2026,MAKRO,"-68,98","-9 356,01"
14/08/2026,SPUR STEAK RANCH,"-108,97","-9 464,98"
14/08/2026,GAME STORES,"-43,83","-9 508,81"
15/08/2026,POS PURCHASE BETHLEHEM SPAR,"-199,93","-9 708,74"
15/08/2026,POS PURCHASE BETHLEHEM SPAR,"-48,45","-9 757,19"
16/08/2026,NETFLIX.COM,"-34,55","-9 791,74"
17/08/2026,UBER TRIP,"-251,42","-10 043,16"
18/08/2026,BOLT TRIP,"-61,46","-10 104,62"
18/08/2026,VODACOM PREPAID AIRTIME,"-323,13","-10 427,75"
18/08/2026,ABSA ATM CASH WITHDRAWAL,"-950,00","-11 377,75"
19/08/2026,BOXER SUPERSTORES,"-48,71","-11 426,46"
25/08/2026,KINGFISHER PHARMA DISTRIBUTION SALARY REF 08202608,"24 000,00","12 573,54"
25/08/2026,TAKEALOT.COM,"-60,55","12 512,99"
25/08/2026,BOLT TRIP,"-86,04","12 426,95"
26/08/2026,CLICKS,"-108,14","12 318,81"
26/08/2026,CHECKERS HYPER,"-197,78","12 121,03"
27/08/2026,CARD PURCHASE ROMANS PIZZA,"-146,64","11 974,39"
31/08/2026,PICK N PAY,"-69,17","11 905,22"
