Capitec Bank Statement
Account No: 01186905531

Date | Description | Amount | Balance
25/06/2026 | COTTON ON | -R60,13 | R7 365,24
25/06/2026 | TOTAL SPORTS | -R163,98 | R7 201,26
27/06/2026 | CARD PURCHASE ROMANS PIZZA | -R61,72 | R7 139,54
28/06/2026 | TOTAL SPORTS | -R107,87 | R7 031,67
29/06/2026 | DIS-CHEM | -R86,56 | R6 945,11
01/07/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R6 937,61
01/07/2026 | RENT PAYMENT TO MRS D | -R2 500,00 | R4 437,61
01/07/2026 | UBER TRIP | -R27,16 | R4 410,45
02/07/2026 | DEBIT ORDER 1LIFE FUNERAL POLICY | -R89,00 | R4 321,45
02/07/2026 | CARD PURCHASE ROMANS PIZZA | -R137,29 | R4 184,16
03/07/2026 | CHECKERS HYPER | -R102,91 | R4 081,25
07/07/2026 | ENGEN FUEL | -R390,65 | R3 690,60
08/07/2026 | CLICKS | -R87,24 | R3 603,36
10/07/2026 | SPUR STEAK RANCH | -R102,52 | R3 500,84
13/07/2026 | COTTON ON | -R50,26 | R3 450,58
13/07/2026 | MR PRICE | -R80,53 | R3 370,05
15/07/2026 | KFC | -R20,29 | R3 349,76
18/07/2026 | PAYMENT FROM T MOKOENA | R350,00 | R3 699,76
19/07/2026 | CARD PURCHASE ROMANS PIZZA | -R123,94 | R3 575,82
23/07/2026 | PICK N PAY | -R54,86 | R3 520,96
23/07/2026 | NANDOS | -R176,49 | R3 344,47
24/07/2026 | BAYVIEW HOUSEHOLD SERVICES SALARY REF 01202607 | R6 200,00 | R9 544,47
24/07/2026 | POS PURCHASE BETHLEHEM SPAR | -R123,15 | R9 421,32
25/07/2026 | PEP STORES | -R92,19 | R9 329,13
27/07/2026 | SHELL ULTRA CITY | -R73,70 | R9 255,43
27/07/2026 | MR PRICE | -R44,48 | R9 210,95
27/07/2026 | UBER TRIP | -R26,54 | R9 184,41
28/07/2026 | BOXER SUPERSTORES | -R65,31 | R9 119,10
28/07/2026 | CARD PURCHASE ROMANS PIZZA | -R46,88 | R9 072,22
29/07/2026 | BOXER SUPERSTORES | -R510,06 | R8 562,16
30/07/2026 | VODACOM PREPAID AIRTIME | -R30,39 | R8 531,77
31/07/2026 | CASH WITHDRAWAL ATM | -R1 000,00 | R7 531,77
01/08/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R7 524,27
01/08/2026 | RENT PAYMENT TO MRS D | -R2 500,00 | R5 024,27
02/08/2026 | DEBIT ORDER 1LIFE FUNERAL POLICY | -R89,00 | R4 935,27
05/08/2026 | BOLT TRIP | -R42,51 | R4 892,76
07/08/2026 | TOTAL SPORTS | -R12,00 | R4 880,76
10/08/2026 | UBER TRIP | -R66,56 | R4 814,20
10/08/2026 | POS PURCHASE BETHLEHEM SPAR | -R246,85 | R4 567,35
11/08/2026 | SPUR STEAK RANCH | -R35,36 | R4 531,99
12/08/2026 | PICK N PAY | -R241,80 | R4 290,19
12/08/2026 | PEP STORES | -R36,62 | R4 253,57
13/08/2026 | WOOLWORTHS FOOD | -R97,85 | R4 155,72
13/08/2026 | BOLT TRIP | -R103,24 | R4 052,48
13/08/2026 | PAYMENT FROM T MOKOENA | R350,00 | R4 402,48
14/08/2026 | DIS-CHEM | -R47,91 | R4 354,57
14/08/2026 | WOOLWORTHS FOOD | -R101,38 | R4 253,19
16/08/2026 | STEERS DRIVE THRU | -R134,74 | R4 118,45
16/08/2026 | POS PURCHASE BETHLEHEM SPAR | -R150,01 | R3 968,44
17/08/2026 | COTTON ON | -R189,18 | R3 779,26
17/08/2026 | MAKRO | -R30,30 | R3 748,96
17/08/2026 | MR PRICE | -R140,79 | R3 608,17
17/08/2026 | WOOLWORTHS FOOD | -R13,98 | R3 594,19
18/08/2026 | STEERS DRIVE THRU | -R106,99 | R3 487,20
18/08/2026 | ENGEN FUEL | -R39,31 | R3 447,89
19/08/2026 | ENGEN FUEL | -R28,01 | R3 419,88
22/08/2026 | DIS-CHEM | -R174,19 | R3 245,69
24/08/2026 | CARD PURCHASE ROMANS PIZZA | -R55,29 | R3 190,40
24/08/2026 | UBER TRIP | -R51,90 | R3 138,50
25/08/2026 | BAYVIEW HOUSEHOLD SERVICES SALARY REF 01202608 | R6 200,00 | R9 338,50
25/08/2026 | BOXER SUPERSTORES | -R14,62 | R9 323,88
26/08/2026 | BOXER SUPERSTORES | -R211,79 | R9 112,09
26/08/2026 | CASH WITHDRAWAL ATM | -R400,00 | R8 712,09
26/08/2026 | CASH WITHDRAWAL ATM | -R600,00 | R8 112,09
