FNB Cheque Account Statement
Account Number: 02709972917

Date,Description,Amount,Balance
22/07/2026,BOLT TRIP,-293.77,3572.02
23/07/2026,CHECKERS HYPER,-40.07,3531.95
27/07/2026,SPAR SUPERSPAR,-174.37,3357.58
27/07/2026,PICK N PAY,-41.33,3316.25
29/07/2026,FNB ATM CASH WITHDRAWAL,-700.00,2616.25
30/07/2026,UMKHONTO PROTECTION SERVICES SALARY REF 02202607,8900.00,11516.25
30/07/2026,NANDOS,-77.77,11438.48
30/07/2026,TAKEALOT.COM,-28.12,11410.36
30/07/2026,TAKEALOT.COM,-109.63,11300.73
30/07/2026,SPAR SUPERSPAR,-357.77,10942.96
31/07/2026,CLICKS,-82.65,10860.31
01/08/2026,MONTHLY ACCOUNT FEE,-109.00,10751.31
01/08/2026,RENT LANDLORD MTHEMBU,-3200.00,7551.31
01/08/2026,GAME STORES,-395.13,7156.18
01/08/2026,PICK N PAY,-325.27,6830.91
02/08/2026,DEBIT ORDER MTN CONTRACT,-299.00,6531.91
02/08/2026,WOOLWORTHS FOOD,-111.76,6420.15
02/08/2026,SHOPRITE,-123.45,6296.70
02/08/2026,SPUR STEAK RANCH,-86.38,6210.32
03/08/2026,DEBIT ORDER OUTSURANCE,-410.00,5800.32
03/08/2026,CAPFIN LOAN INSTALMENT,-780.00,5020.32
04/08/2026,CHECKERS HYPER,-47.29,4973.03
04/08/2026,ENGEN FUEL,-64.85,4908.18
05/08/2026,SHOPRITE,-129.41,4778.77
06/08/2026,NETFLIX.COM,-78.36,4700.41
07/08/2026,DIS-CHEM,-169.79,4530.62
07/08/2026,PEP STORES,-91.82,4438.80
07/08/2026,PAYMENT FROM T MOKOENA,350.00,4788.80
08/08/2026,POS PURCHASE BETHLEHEM SPAR,-25.28,4763.52
10/08/2026,SHOPRITE,-149.22,4614.30
10/08/2026,BOLT TRIP,-161.09,4453.21
10/08/2026,NANDOS,-65.04,4388.17
11/08/2026,BOXER SUPERSTORES,-53.46,4334.71
13/08/2026,STEERS DRIVE THRU,-122.52,4212.19
17/08/2026,KFC,-66.51,4145.68
21/08/2026,NANDOS,-25.97,4119.71
22/08/2026,PEP STORES,-219.25,3900.46
23/08/2026,FNB ATM CASH WITHDRAWAL,-400.00,3500.46
23/08/2026,FNB ATM CASH WITHDRAWAL,-650.00,2850.46
28/08/2026,UMKHONTO PROTECTION SERVICES SALARY REF 02202608,8900.00,11750.46
28/08/2026,PICK N PAY,-47.96,11702.50
30/08/2026,TAKEALOT.COM,-122.36,11580.14
