Absa Bank Limited - Statement of Account
Account number 04142167651

Transaction Date,Description,Amount (R),Balance (R)
01/06/2026,STEERS DRIVE THRU,"-101,64","7 011,54"
02/06/2026,DEBIT ORDER TELKOM FIBRE,"-599,00","6 412,54"
03/06/2026,DEBIT ORDER SANLAM POLICY,"-320,00","6 092,54"
03/06/2026,TOTAL SPORTS,"-208,89","5 883,65"
03/06/2026,BOXER SUPERSTORES,"-100,38","5 783,27"
03/06/2026,ABSA ATM CASH WITHDRAWAL,"-650,00","5 133,27"
04/06/2026,DEBIT ORDER DISCOVERY MEDICAL AID,"-1 650,00","3 483,27"
05/06/2026,TITHE - GRACE FAMILY CHURCH,"-1 240,00","2 243,27"
09/06/2026,CARD PURCHASE ROMANS PIZZA,"-47,38","2 195,89"
09/06/2026,PAYMENT FROM T MOKOENA,"350,00","2 545,89"
10/06/2026,MR PRICE,"-182,22","2 363,67"
11/06/2026,POS PURCHASE BETHLEHEM SPAR,"-142,87","2 220,80"
12/06/2026,POS PURCHASE BETHLEHEM SPAR,"-57,42","2 163,38"
14/06/2026,BOXER SUPERSTORES,"-144,27","2 019,11"
15/06/2026,POS PURCHASE BETHLEHEM SPAR,"-309,44","1 709,67"
16/06/2026,SHELL ULTRA CITY,"-111,66","1 598,01"
16/06/2026,ENGEN FUEL,"-150,14","1 447,87"
19/06/2026,ENGEN FUEL,"-165,47","1 282,40"
19/06/2026,VODACOM PREPAID AIRTIME,"-29,50","1 252,90"
21/06/2026,MR PRICE,"-57,08","1 195,82"
24/06/2026,SHELL ULTRA CITY,"-208,08","987,74"
25/06/2026,DOLPHIN COAST LOGISTICS SALARY REF 04202606,"12 400,00","13 387,74"
25/06/2026,NETFLIX.COM,"-144,11","13 243,63"
25/06/2026,ENGEN FUEL,"-100,72","13 142,91"
26/06/2026,UBER TRIP,"-112,69","13 030,22"
27/06/2026,AVIS RENT-A-CAR,"-121,29","12 908,93"
29/06/2026,KFC,"-118,29","12 790,64"
29/06/2026,ABSA ATM CASH WITHDRAWAL,"-350,00","12 440,64"
30/06/2026,KFC,"-125,13","12 315,51"
01/07/2026,MONTHLY ACCOUNT FEE,"-99,00","12 216,51"
01/07/2026,RENT SEAVIEW FLATS,"-4 500,00","7 716,51"
02/07/2026,DEBIT ORDER TELKOM FIBRE,"-599,00","7 117,51"
03/07/2026,DEBIT ORDER SANLAM POLICY,"-320,00","6 797,51"
04/07/2026,DEBIT ORDER DISCOVERY MEDICAL AID,"-1 650,00","5 147,51"
04/07/2026,COTTON ON,"-116,88","5 030,63"
04/07/2026,TOTAL SPORTS,"-155,82","4 874,81"
05/07/2026,TITHE - GRACE FAMILY CHURCH,"-1 240,00","3 634,81"
06/07/2026,BOLT TRIP,"-223,91","3 410,90"
08/07/2026,TAKEALOT.COM,"-147,39","3 263,51"
11/07/2026,AVIS RENT-A-CAR,"-78,12","3 185,39"
11/07/2026,PICK N PAY,"-354,41","2 830,98"
13/07/2026,POS PURCHASE BETHLEHEM SPAR,"-66,63","2 764,35"
13/07/2026,ABSA ATM CASH WITHDRAWAL,"-700,00","2 064,35"
17/07/2026,PEP STORES,"-567,43","1 496,92"
17/07/2026,WOOLWORTHS FOOD,"-193,73","1 303,19"
18/07/2026,PICK N PAY,"-368,82","934,37"
20/07/2026,MAKRO,"-129,34","805,03"
20/07/2026,ABSA ATM CASH WITHDRAWAL,"-300,00","505,03"
21/07/2026,BOXER SUPERSTORES,"-69,41","435,62"
24/07/2026,DOLPHIN COAST LOGISTICS SALARY REF 04202607,"12 400,00","12 835,62"
26/07/2026,CLICKS,"-31,02","12 804,60"
28/07/2026,DIS-CHEM,"-84,91","12 719,69"
30/07/2026,ENGEN FUEL,"-118,25","12 601,44"
31/07/2026,SHOPRITE,"-29,61","12 571,83"
01/08/2026,MONTHLY ACCOUNT FEE,"-99,00","12 472,83"
01/08/2026,RENT SEAVIEW FLATS,"-4 500,00","7 972,83"
02/08/2026,DEBIT ORDER TELKOM FIBRE,"-599,00","7 373,83"
03/08/2026,DEBIT ORDER SANLAM POLICY,"-320,00","7 053,83"
03/08/2026,SPUR STEAK RANCH,"-196,22","6 857,61"
04/08/2026,DEBIT ORDER DISCOVERY MEDICAL AID,"-1 650,00","5 207,61"
04/08/2026,SPUR STEAK RANCH,"-61,85","5 145,76"
04/08/2026,CLICKS,"-54,68","5 091,08"
04/08/2026,SHELL ULTRA CITY,"-149,05","4 942,03"
05/08/2026,TITHE - GRACE FAMILY CHURCH,"-1 240,00","3 702,03"
05/08/2026,GAME STORES,"-15,68","3 686,35"
06/08/2026,COTTON ON,"-20,50","3 665,85"
08/08/2026,PAYMENT FROM T MOKOENA,"350,00","4 015,85"
09/08/2026,NETFLIX.COM,"-63,92","3 951,93"
09/08/2026,COTTON ON,"-99,07","3 852,86"
11/08/2026,SHOPRITE,"-177,90","3 674,96"
12/08/2026,COTTON ON,"-39,58","3 635,38"
13/08/2026,AVIS RENT-A-CAR,"-161,74","3 473,64"
15/08/2026,STEERS DRIVE THRU,"-123,94","3 349,70"
16/08/2026,ABSA ATM CASH WITHDRAWAL,"-500,00","2 849,70"
17/08/2026,ENGEN FUEL,"-430,98","2 418,72"
17/08/2026,GAME STORES,"-30,03","2 388,69"
19/08/2026,AVIS RENT-A-CAR,"-51,77","2 336,92"
19/08/2026,MR PRICE,"-25,40","2 311,52"
19/08/2026,SPAR SUPERSPAR,"-112,82","2 198,70"
19/08/2026,MAKRO,"-127,24","2 071,46"
22/08/2026,MAKRO,"-43,33","2 028,13"
22/08/2026,CARD PURCHASE ROMANS PIZZA,"-72,52","1 955,61"
22/08/2026,ABSA ATM CASH WITHDRAWAL,"-250,00","1 705,61"
25/08/2026,DOLPHIN COAST LOGISTICS SALARY REF 04202608,"12 400,00","14 105,61"
26/08/2026,SPAR SUPERSPAR,"-346,07","13 759,54"
26/08/2026,BOXER SUPERSTORES,"-98,26","13 661,28"
27/08/2026,COTTON ON,"-38,49","13 622,79"
28/08/2026,BOLT TRIP,"-14,39","13 608,40"
30/08/2026,ABSA ATM CASH WITHDRAWAL,"-250,00","13 358,40"
31/08/2026,POS PURCHASE BETHLEHEM SPAR,"-187,45","13 170,95"
