Capitec Bank Statement
Account No: 06999168168

Date | Description | Amount | Balance
29/04/2026 | COTTON ON | -R326,07 | R18 378,27
29/04/2026 | UBER TRIP | -R61,17 | R18 317,10
30/04/2026 | SPAR SUPERSPAR | -R48,97 | R18 268,13
01/05/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R18 260,63
01/05/2026 | RENT PAYMENT GLENWOOD | -R6 500,00 | R11 760,63
01/05/2026 | ENGEN FUEL | -R186,18 | R11 574,45
01/05/2026 | MR PRICE | -R25,75 | R11 548,70
01/05/2026 | NETFLIX.COM | -R23,27 | R11 525,43
02/05/2026 | DEBIT ORDER OUTSURANCE POLICY | -R649,00 | R10 876,43
03/05/2026 | DEBIT ORDER VODACOM CONTRACT | -R499,00 | R10 377,43
03/05/2026 | PERSONAL LOAN REPAYMENT AFRICAN BANK | -R1 450,00 | R8 927,43
04/05/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R2 100,00 | R6 827,43
04/05/2026 | SHELL ULTRA CITY | -R173,12 | R6 654,31
05/05/2026 | MAINTENANCE PAYMENT S DLAMINI | -R1 500,00 | R5 154,31
05/05/2026 | TAKEALOT.COM | -R46,01 | R5 108,30
06/05/2026 | MR PRICE | -R212,95 | R4 895,35
06/05/2026 | DIS-CHEM | -R52,73 | R4 842,62
08/05/2026 | CASH WITHDRAWAL ATM | -R300,00 | R4 542,62
09/05/2026 | CHECKERS HYPER | -R33,60 | R4 509,02
16/05/2026 | CHECKERS HYPER | -R134,55 | R4 374,47
17/05/2026 | PEP STORES | -R51,85 | R4 322,62
17/05/2026 | GAME STORES | -R129,66 | R4 192,96
17/05/2026 | MAKRO | -R277,16 | R3 915,80
17/05/2026 | CASH WITHDRAWAL ATM | -R350,00 | R3 565,80
20/05/2026 | DIS-CHEM | -R55,88 | R3 509,92
22/05/2026 | MAKRO | -R163,00 | R3 346,92
22/05/2026 | MAKRO | -R96,88 | R3 250,04
25/05/2026 | COASTAL CARE HOSPITAL GROUP SALARY REF 06202605 | R18 500,00 | R21 750,04
25/05/2026 | PICK N PAY | -R38,89 | R21 711,15
26/05/2026 | SHOPRITE | -R44,51 | R21 666,64
26/05/2026 | POS PURCHASE BETHLEHEM SPAR | -R162,12 | R21 504,52
27/05/2026 | AVIS RENT-A-CAR | -R59,81 | R21 444,71
27/05/2026 | CASH WITHDRAWAL ATM | -R300,00 | R21 144,71
28/05/2026 | SHELL ULTRA CITY | -R219,46 | R20 925,25
28/05/2026 | COTTON ON | -R382,40 | R20 542,85
28/05/2026 | CHECKERS HYPER | -R632,33 | R19 910,52
29/05/2026 | CARD PURCHASE ROMANS PIZZA | -R509,98 | R19 400,54
01/06/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R19 393,04
01/06/2026 | RENT PAYMENT GLENWOOD | -R6 500,00 | R12 893,04
01/06/2026 | COTTON ON | -R399,91 | R12 493,13
01/06/2026 | TAKEALOT.COM | -R152,01 | R12 341,12
02/06/2026 | DEBIT ORDER OUTSURANCE POLICY | -R649,00 | R11 692,12
03/06/2026 | DEBIT ORDER VODACOM CONTRACT | -R499,00 | R11 193,12
03/06/2026 | PERSONAL LOAN REPAYMENT AFRICAN BANK | -R1 450,00 | R9 743,12
03/06/2026 | AVIS RENT-A-CAR | -R33,74 | R9 709,38
03/06/2026 | STEERS DRIVE THRU | -R103,92 | R9 605,46
04/06/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R2 100,00 | R7 505,46
04/06/2026 | MR PRICE | -R75,66 | R7 429,80
05/06/2026 | MAINTENANCE PAYMENT S DLAMINI | -R1 500,00 | R5 929,80
08/06/2026 | SHOPRITE | -R43,10 | R5 886,70
08/06/2026 | WOOLWORTHS SANDTON | -R73,88 | R5 812,82
10/06/2026 | PAYMENT FROM T MOKOENA | R350,00 | R6 162,82
11/06/2026 | TAKEALOT.COM | -R199,06 | R5 963,76
11/06/2026 | MAKRO | -R46,66 | R5 917,10
11/06/2026 | DIS-CHEM | -R64,21 | R5 852,89
11/06/2026 | CASH WITHDRAWAL ATM | -R950,00 | R4 902,89
13/06/2026 | SHOPRITE | -R183,86 | R4 719,03
14/06/2026 | WOOLWORTHS SANDTON | -R25,64 | R4 693,39
16/06/2026 | SHOPRITE | -R311,30 | R4 382,09
17/06/2026 | MAKRO | -R149,46 | R4 232,63
17/06/2026 | STEERS DRIVE THRU | -R13,81 | R4 218,82
18/06/2026 | SHELL ULTRA CITY | -R124,52 | R4 094,30
19/06/2026 | ENGEN FUEL | -R53,44 | R4 040,86
19/06/2026 | NETFLIX.COM | -R320,66 | R3 720,20
20/06/2026 | UBER TRIP | -R30,33 | R3 689,87
21/06/2026 | DIS-CHEM | -R56,25 | R3 633,62
22/06/2026 | SHELL ULTRA CITY | -R187,96 | R3 445,66
22/06/2026 | CHECKERS UMHLANGA | -R198,66 | R3 247,00
24/06/2026 | PICK N PAY | -R129,06 | R3 117,94
25/06/2026 | COASTAL CARE HOSPITAL GROUP SALARY REF 06202606 | R18 500,00 | R21 617,94
26/06/2026 | CLICKS | -R237,63 | R21 380,31
27/06/2026 | SPAR SUPERSPAR | -R174,60 | R21 205,71
29/06/2026 | NETFLIX.COM | -R325,19 | R20 880,52
01/07/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R20 873,02
01/07/2026 | RENT PAYMENT GLENWOOD | -R6 500,00 | R14 373,02
02/07/2026 | DEBIT ORDER OUTSURANCE POLICY | -R649,00 | R13 724,02
03/07/2026 | DEBIT ORDER VODACOM CONTRACT | -R499,00 | R13 225,02
03/07/2026 | PERSONAL LOAN REPAYMENT AFRICAN BANK | -R1 450,00 | R11 775,02
04/07/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R2 100,00 | R9 675,02
05/07/2026 | MAINTENANCE PAYMENT S DLAMINI | -R1 500,00 | R8 175,02
05/07/2026 | CARD PURCHASE ROMANS PIZZA | -R200,45 | R7 974,57
05/07/2026 | AVIS RENT-A-CAR | -R39,25 | R7 935,32
07/07/2026 | CARD PURCHASE ROMANS PIZZA | -R275,30 | R7 660,02
08/07/2026 | SPAR SUPERSPAR | -R363,63 | R7 296,39
09/07/2026 | NETFLIX.COM | -R230,16 | R7 066,23
09/07/2026 | CHECKERS HYPER | -R94,02 | R6 972,21
10/07/2026 | DIS-CHEM | -R171,92 | R6 800,29
10/07/2026 | CASH WITHDRAWAL ATM | -R900,00 | R5 900,29
11/07/2026 | TOTAL SPORTS | -R210,83 | R5 689,46
12/07/2026 | CARD PURCHASE ROMANS PIZZA | -R32,16 | R5 657,30
13/07/2026 | COTTON ON | -R176,57 | R5 480,73
15/07/2026 | COTTON ON | -R166,62 | R5 314,11
15/07/2026 | CLICKS | -R249,23 | R5 064,88
16/07/2026 | PNP UMLAZI MEGA CITY | -R65,22 | R4 999,66
16/07/2026 | WOOLWORTHS FOOD | -R49,53 | R4 950,13
17/07/2026 | BOLT TRIP | -R79,14 | R4 870,99
17/07/2026 | CHECKERS HYPER | -R56,67 | R4 814,32
17/07/2026 | UBER TRIP | -R58,67 | R4 755,65
20/07/2026 | NANDOS | -R121,78 | R4 633,87
21/07/2026 | NANDOS | -R135,31 | R4 498,56
21/07/2026 | STEERS DRIVE THRU | -R225,92 | R4 272,64
23/07/2026 | WOOLWORTHS FOOD | -R292,01 | R3 980,63
24/07/2026 | COASTAL CARE HOSPITAL GROUP SALARY REF 06202607 | R18 500,00 | R22 480,63
24/07/2026 | COTTON ON | -R105,39 | R22 375,24
24/07/2026 | SHOPRITE | -R185,22 | R22 190,02
25/07/2026 | UBER TRIP | -R84,69 | R22 105,33
25/07/2026 | SHOPRITE | -R40,09 | R22 065,24
01/08/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R22 057,74
01/08/2026 | RENT PAYMENT GLENWOOD | -R6 500,00 | R15 557,74
02/08/2026 | DEBIT ORDER OUTSURANCE POLICY | -R649,00 | R14 908,74
02/08/2026 | PICK N PAY | -R250,01 | R14 658,73
02/08/2026 | PICK N PAY | -R338,83 | R14 319,90
03/08/2026 | DEBIT ORDER VODACOM CONTRACT | -R499,00 | R13 820,90
03/08/2026 | PERSONAL LOAN REPAYMENT AFRICAN BANK | -R1 450,00 | R12 370,90
04/08/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R2 100,00 | R10 270,90
04/08/2026 | TOTAL SPORTS | -R284,94 | R9 985,96
04/08/2026 | MAKRO | -R252,73 | R9 733,23
05/08/2026 | MAINTENANCE PAYMENT S DLAMINI | -R1 500,00 | R8 233,23
08/08/2026 | BOLT TRIP | -R196,85 | R8 036,38
11/08/2026 | PNP UMLAZI MEGA CITY | -R47,80 | R7 988,58
11/08/2026 | MAKRO | -R178,44 | R7 810,14
12/08/2026 | CASH WITHDRAWAL ATM | -R950,00 | R6 860,14
14/08/2026 | SPUR STEAK RANCH | -R63,71 | R6 796,43
17/08/2026 | STEERS DRIVE THRU | -R428,99 | R6 367,44
17/08/2026 | ENGEN FUEL | -R44,91 | R6 322,53
17/08/2026 | CARD PURCHASE ROMANS PIZZA | -R226,43 | R6 096,10
18/08/2026 | AVIS RENT-A-CAR | -R112,89 | R5 983,21
20/08/2026 | SPUR STEAK RANCH | -R548,60 | R5 434,61
22/08/2026 | TAKEALOT.COM | -R154,01 | R5 280,60
25/08/2026 | COASTAL CARE HOSPITAL GROUP SALARY REF 06202608 | R18 500,00 | R23 780,60
25/08/2026 | NANDOS | -R100,56 | R23 680,04
26/08/2026 | STEERS DRIVE THRU | -R72,68 | R23 607,36
29/08/2026 | COTTON ON | -R100,57 | R23 506,79
30/08/2026 | VODACOM PREPAID AIRTIME | -R20,75 | R23 486,04
30/08/2026 | SHELL ULTRA CITY | -R204,76 | R23 281,28
30/08/2026 | DIS-CHEM | -R81,69 | R23 199,59
