Standard Bank - Transaction History
Account: 00000000000

Date,Details,Debit,Credit,Balance
01/05/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"35,442.04"
02/05/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"34,662.04"
02/05/2026,GAME STORES,380.44,,"34,281.60"
03/05/2026,DEBIT ORDER MTN CONTRACT,649.00,,"33,632.60"
03/05/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"29,742.60"
03/05/2026,DIS-CHEM,96.94,,"29,645.66"
03/05/2026,TOTAL SPORTS,558.08,,"29,087.58"
04/05/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"25,887.58"
04/05/2026,NETFLIX.COM,358.77,,"25,528.81"
04/05/2026,AVIS RENT-A-CAR,46.10,,"25,482.71"
04/05/2026,UBER TRIP,80.38,,"25,402.33"
07/05/2026,PEP STORES,47.36,,"25,354.97"
07/05/2026,CLICKS,35.67,,"25,319.30"
07/05/2026,KFC,100.09,,"25,219.21"
12/05/2026,TAKEALOT.COM,66.16,,"25,153.05"
13/05/2026,CARD PURCHASE ROMANS PIZZA,80.80,,"25,072.25"
14/05/2026,TAKEALOT.COM,224.53,,"24,847.72"
15/05/2026,SHOPRITE,418.32,,"24,429.40"
15/05/2026,SPUR STEAK RANCH,82.99,,"24,346.41"
16/05/2026,DIS-CHEM,100.45,,"24,245.96"
17/05/2026,ATM CASH WITHDRAWAL,"1,100.00",,"23,145.96"
19/05/2026,KFC,118.70,,"23,027.26"
20/05/2026,KFC,25.14,,"23,002.12"
22/05/2026,CARD PURCHASE ROMANS PIZZA,44.44,,"22,957.68"
22/05/2026,ENGEN FUEL,115.44,,"22,842.24"
23/05/2026,MR PRICE,17.36,,"22,824.88"
23/05/2026,DIS-CHEM,39.93,,"22,784.95"
25/05/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202605,,"22,300.00","45,084.95"
26/05/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"44,084.95"
26/05/2026,PEP STORES,37.80,,"44,047.15"
27/05/2026,KFC,41.60,,"44,005.55"
28/05/2026,SPAR SUPERSPAR,90.88,,"43,914.67"
31/05/2026,ENGEN FUEL,98.04,,"43,816.63"
31/05/2026,SPUR STEAK RANCH,52.87,,"43,763.76"
01/06/2026,MONTHLY ACCOUNT FEE,119.00,,"43,644.76"
01/06/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"36,144.76"
02/06/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"35,364.76"
02/06/2026,CHECKERS HYPER,15.30,,"35,349.46"
02/06/2026,STEERS DRIVE THRU,488.47,,"34,860.99"
03/06/2026,DEBIT ORDER MTN CONTRACT,649.00,,"34,211.99"
03/06/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"30,321.99"
03/06/2026,COTTON ON,26.36,,"30,295.63"
03/06/2026,CLICKS,51.07,,"30,244.56"
04/06/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"27,044.56"
05/06/2026,PEP STORES,105.31,,"26,939.25"
06/06/2026,BOXER SUPERSTORES,35.84,,"26,903.41"
08/06/2026,NETFLIX.COM,29.71,,"26,873.70"
09/06/2026,NANDOS,109.04,,"26,764.66"
10/06/2026,PEP STORES,275.65,,"26,489.01"
11/06/2026,STEERS DRIVE THRU,82.47,,"26,406.54"
12/06/2026,POS PURCHASE BETHLEHEM SPAR,100.47,,"26,306.07"
13/06/2026,NETFLIX.COM,40.02,,"26,266.05"
13/06/2026,MR PRICE,71.90,,"26,194.15"
14/06/2026,PAYMENT FROM T MOKOENA,,350.00,"26,544.15"
15/06/2026,PEP STORES,232.79,,"26,311.36"
17/06/2026,CLICKS,85.66,,"26,225.70"
17/06/2026,UBER TRIP,125.33,,"26,100.37"
18/06/2026,KFC,102.35,,"25,998.02"
19/06/2026,NANDOS,80.26,,"25,917.76"
20/06/2026,SHOPRITE,80.85,,"25,836.91"
20/06/2026,POS PURCHASE BETHLEHEM SPAR,52.48,,"25,784.43"
21/06/2026,PICK N PAY,101.00,,"25,683.43"
21/06/2026,ATM CASH WITHDRAWAL,550.00,,"25,133.43"
21/06/2026,ATM CASH WITHDRAWAL,550.00,,"24,583.43"
23/06/2026,AVIS RENT-A-CAR,130.84,,"24,452.59"
25/06/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202606,,"22,300.00","46,752.59"
26/06/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"45,752.59"
26/06/2026,NETFLIX.COM,63.14,,"45,689.45"
27/06/2026,VODACOM PREPAID AIRTIME,139.81,,"45,549.64"
28/06/2026,DIS-CHEM,142.74,,"45,406.90"
28/06/2026,SHELL ULTRA CITY,358.66,,"45,048.24"
29/06/2026,DIS-CHEM,231.96,,"44,816.28"
01/07/2026,MONTHLY ACCOUNT FEE,119.00,,"44,697.28"
01/07/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"37,197.28"
01/07/2026,MAKRO,41.10,,"37,156.18"
02/07/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"36,376.18"
03/07/2026,DEBIT ORDER MTN CONTRACT,649.00,,"35,727.18"
03/07/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"31,837.18"
04/07/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"28,637.18"
04/07/2026,BOXER SUPERSTORES,52.02,,"28,585.16"
05/07/2026,WOOLWORTHS FOOD,65.23,,"28,519.93"
06/07/2026,MR PRICE,286.55,,"28,233.38"
07/07/2026,ENGEN FUEL,164.66,,"28,068.72"
08/07/2026,SPAR SUPERSPAR,142.40,,"27,926.32"
09/07/2026,WOOLWORTHS FOOD,379.87,,"27,546.45"
10/07/2026,VODACOM PREPAID AIRTIME,96.22,,"27,450.23"
10/07/2026,POS PURCHASE BETHLEHEM SPAR,17.07,,"27,433.16"
11/07/2026,NETFLIX.COM,709.50,,"26,723.66"
11/07/2026,PICK N PAY,"1,197.25",,"25,526.41"
11/07/2026,POS PURCHASE BETHLEHEM SPAR,49.40,,"25,477.01"
16/07/2026,ATM CASH WITHDRAWAL,"1,100.00",,"24,377.01"
23/07/2026,ENGEN FUEL,52.11,,"24,324.90"
24/07/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202607,,"22,300.00","46,624.90"
26/07/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"45,624.90"
27/07/2026,KFC,97.50,,"45,527.40"
01/08/2026,MONTHLY ACCOUNT FEE,119.00,,"45,408.40"
01/08/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"37,908.40"
02/08/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"37,128.40"
03/08/2026,DEBIT ORDER MTN CONTRACT,649.00,,"36,479.40"
03/08/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"32,589.40"
03/08/2026,KFC,106.51,,"32,482.89"
04/08/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"29,282.89"
08/08/2026,NETFLIX.COM,215.59,,"29,067.30"
08/08/2026,BOLT TRIP,138.56,,"28,928.74"
09/08/2026,BOLT TRIP,206.54,,"28,722.20"
12/08/2026,MAKRO,109.37,,"28,612.83"
12/08/2026,AVIS RENT-A-CAR,534.07,,"28,078.76"
13/08/2026,DIS-CHEM,270.83,,"27,807.93"
13/08/2026,KFC,35.76,,"27,772.17"
14/08/2026,UBER TRIP,172.36,,"27,599.81"
14/08/2026,SHOPRITE,205.02,,"27,394.79"
15/08/2026,WOOLWORTHS FOOD,285.67,,"27,109.12"
16/08/2026,MR PRICE,162.06,,"26,947.06"
17/08/2026,UBER TRIP,144.19,,"26,802.87"
18/08/2026,DIS-CHEM,149.42,,"26,653.45"
22/08/2026,MAKRO,113.02,,"26,540.43"
23/08/2026,SHELL ULTRA CITY,67.61,,"26,472.82"
25/08/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202608,,"22,300.00","48,772.82"
25/08/2026,GAME STORES,162.10,,"48,610.72"
26/08/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"47,610.72"
28/08/2026,KFC,125.55,,"47,485.17"
28/08/2026,CHECKERS HYPER,149.62,,"47,335.55"
31/08/2026,ATM CASH WITHDRAWAL,"1,100.00",,"46,235.55"
