Standard Bank - Transaction History
Account: 03881803769

Date,Details,Debit,Credit,Balance
21/05/2026,BOLT TRIP,17.10,,"-2,885.69"
21/05/2026,POS PURCHASE BETHLEHEM SPAR,38.31,,"-2,924.00"
23/05/2026,SHOPRITE,12.00,,"-2,936.00"
23/05/2026,NETFLIX.COM,32.89,,"-2,968.89"
24/05/2026,ATM CASH WITHDRAWAL,450.00,,"-3,418.89"
24/05/2026,BETWAY DEPOSIT,346.84,,"-3,765.73"
25/05/2026,COASTAL RETAIL HOLDINGS SALARY REF 03202605,,"9,800.00","6,034.27"
27/05/2026,SPAR SUPERSPAR,102.18,,"5,932.09"
27/05/2026,POS PURCHASE BETHLEHEM SPAR,87.89,,"5,844.20"
28/05/2026,SUPABETS ONLINE,290.76,,"5,553.44"
29/05/2026,WOOLWORTHS SANDTON,32.63,,"5,520.81"
30/05/2026,LOTTO ONLINE,307.82,,"5,212.99"
31/05/2026,MR PRICE,98.45,,"5,114.54"
31/05/2026,SUPABETS ONLINE,156.17,,"4,958.37"
01/06/2026,MONTHLY ACCOUNT FEE,119.00,,"4,839.37"
01/06/2026,RENT PAYMENT FLAT 4B,"3,000.00",,"1,839.37"
01/06/2026,MAKRO,185.68,,"1,653.69"
01/06/2026,LOTTO ONLINE,284.83,,"1,368.86"
02/06/2026,DEBIT ORDER CELL C,249.00,,"1,119.86"
03/06/2026,WONGA LOAN REPAYMENT,650.00,,469.86
05/06/2026,HOLLYWOODBETS,660.21,,-190.35
06/06/2026,MAKRO,29.81,,-220.16
06/06/2026,GAME STORES,223.52,,-443.68
07/06/2026,KFC,49.35,,-493.03
07/06/2026,TAKEALOT.COM,127.12,,-620.15
07/06/2026,PNP UMLAZI MEGA CITY,28.75,,-648.90
07/06/2026,WOOLWORTHS FOOD,48.69,,-697.59
08/06/2026,NANDOS,178.23,,-875.82
10/06/2026,ATM CASH WITHDRAWAL,"1,000.00",,"-1,875.82"
10/06/2026,SUPABETS ONLINE,64.93,,"-1,940.75"
10/06/2026,HOLLYWOODBETS,114.40,,"-2,055.15"
12/06/2026,PAYMENT FROM T MOKOENA,,350.00,"-1,705.15"
13/06/2026,SHOPRITE,70.08,,"-1,775.23"
13/06/2026,CHECKERS UMHLANGA,75.82,,"-1,851.05"
15/06/2026,TAKEALOT.COM,128.68,,"-1,979.73"
18/06/2026,PICK N PAY,33.76,,"-2,013.49"
18/06/2026,NANDOS,19.57,,"-2,033.06"
18/06/2026,CHECKERS UMHLANGA,28.37,,"-2,061.43"
19/06/2026,NANDOS,166.08,,"-2,227.51"
20/06/2026,KFC,148.19,,"-2,375.70"
20/06/2026,MR PRICE,139.69,,"-2,515.39"
20/06/2026,GAME STORES,40.18,,"-2,555.57"
20/06/2026,LOTTO ONLINE,459.22,,"-3,014.79"
22/06/2026,DIS-CHEM,161.73,,"-3,176.52"
24/06/2026,WOOLWORTHS SANDTON,22.23,,"-3,198.75"
24/06/2026,NETFLIX.COM,23.26,,"-3,222.01"
24/06/2026,TOTAL SPORTS,51.65,,"-3,273.66"
24/06/2026,BETWAY DEPOSIT,97.91,,"-3,371.57"
25/06/2026,COASTAL RETAIL HOLDINGS SALARY REF 03202606,,"9,800.00","6,428.43"
26/06/2026,NANDOS,41.75,,"6,386.68"
27/06/2026,MR PRICE,331.16,,"6,055.52"
27/06/2026,ENGEN FUEL,247.45,,"5,808.07"
28/06/2026,SHELL ULTRA CITY,111.65,,"5,696.42"
29/06/2026,TAKEALOT.COM,46.31,,"5,650.11"
29/06/2026,LOTTO ONLINE,86.39,,"5,563.72"
01/07/2026,MONTHLY ACCOUNT FEE,119.00,,"5,444.72"
01/07/2026,RENT PAYMENT FLAT 4B,"3,000.00",,"2,444.72"
02/07/2026,DEBIT ORDER CELL C,249.00,,"2,195.72"
03/07/2026,WONGA LOAN REPAYMENT,650.00,,"1,545.72"
03/07/2026,SHELL ULTRA CITY,63.23,,"1,482.49"
03/07/2026,SHELL ULTRA CITY,86.08,,"1,396.41"
05/07/2026,CHECKERS UMHLANGA,216.19,,"1,180.22"
05/07/2026,ATM CASH WITHDRAWAL,400.00,,780.22
05/07/2026,SUPABETS ONLINE,73.29,,706.93
05/07/2026,SUPABETS ONLINE,443.59,,263.34
06/07/2026,SHELL ULTRA CITY,15.28,,248.06
06/07/2026,BETWAY DEPOSIT,193.38,,54.68
08/07/2026,TAKEALOT.COM,30.63,,24.05
12/07/2026,LOTTO ONLINE,176.66,,-152.61
13/07/2026,PEP STORES,54.31,,-206.92
14/07/2026,PNP UMLAZI MEGA CITY,71.95,,-278.87
18/07/2026,ENGEN FUEL,165.27,,-444.14
18/07/2026,PAYMENT FROM T MOKOENA,,350.00,-94.14
19/07/2026,WOOLWORTHS FOOD,149.90,,-244.04
20/07/2026,TAKEALOT.COM,117.64,,-361.68
20/07/2026,NETFLIX.COM,48.85,,-410.53
20/07/2026,COTTON ON,132.89,,-543.42
20/07/2026,GAME STORES,132.71,,-676.13
20/07/2026,BETWAY DEPOSIT,397.90,,"-1,074.03"
21/07/2026,DIS-CHEM,154.05,,"-1,228.08"
21/07/2026,MAKRO,54.02,,"-1,282.10"
23/07/2026,WOOLWORTHS FOOD,32.92,,"-1,315.02"
24/07/2026,COASTAL RETAIL HOLDINGS SALARY REF 03202607,,"9,800.00","8,484.98"
27/07/2026,TAKEALOT.COM,180.33,,"8,304.65"
27/07/2026,PEP STORES,258.00,,"8,046.65"
27/07/2026,CARD PURCHASE ROMANS PIZZA,12.00,,"8,034.65"
27/07/2026,DIS-CHEM,108.91,,"7,925.74"
28/07/2026,PICK N PAY,15.27,,"7,910.47"
28/07/2026,PICK N PAY,43.79,,"7,866.68"
28/07/2026,ENGEN FUEL,191.93,,"7,674.75"
29/07/2026,GAME STORES,82.76,,"7,591.99"
30/07/2026,SPUR STEAK RANCH,38.32,,"7,553.67"
30/07/2026,WOOLWORTHS SANDTON,36.01,,"7,517.66"
30/07/2026,SUPABETS ONLINE,80.76,,"7,436.90"
30/07/2026,SUPABETS ONLINE,372.25,,"7,064.65"
31/07/2026,COTTON ON,270.00,,"6,794.65"
31/07/2026,ATM CASH WITHDRAWAL,600.00,,"6,194.65"
31/07/2026,SUPABETS ONLINE,28.99,,"6,165.66"
01/08/2026,MONTHLY ACCOUNT FEE,119.00,,"6,046.66"
01/08/2026,RENT PAYMENT FLAT 4B,"3,000.00",,"3,046.66"
01/08/2026,MR PRICE,136.51,,"2,910.15"
01/08/2026,GAME STORES,677.21,,"2,232.94"
02/08/2026,DEBIT ORDER CELL C,249.00,,"1,983.94"
02/08/2026,LOTTO ONLINE,244.38,,"1,739.56"
03/08/2026,WONGA LOAN REPAYMENT,650.00,,"1,089.56"
03/08/2026,TAKEALOT.COM,68.78,,"1,020.78"
03/08/2026,BOXER SUPERSTORES,525.64,,495.14
05/08/2026,NANDOS,58.39,,436.75
08/08/2026,PICK N PAY,101.80,,334.95
08/08/2026,MR PRICE,57.29,,277.66
08/08/2026,LOTTO ONLINE,133.69,,143.97
09/08/2026,AVIS RENT-A-CAR,73.15,,70.82
12/08/2026,BETWAY DEPOSIT,147.99,,-77.17
14/08/2026,MR PRICE,270.74,,-347.91
15/08/2026,STEERS DRIVE THRU,149.70,,-497.61
17/08/2026,HOLLYWOODBETS,135.29,,-632.90
19/08/2026,WOOLWORTHS FOOD,122.64,,-755.54
20/08/2026,WOOLWORTHS FOOD,49.62,,-805.16
21/08/2026,SUPABETS ONLINE,52.07,,-857.23
22/08/2026,SHOPRITE,156.20,,"-1,013.43"
22/08/2026,SUPABETS ONLINE,167.77,,"-1,181.20"
23/08/2026,ATM CASH WITHDRAWAL,300.00,,"-1,481.20"
24/08/2026,LOTTO ONLINE,65.33,,"-1,546.53"
25/08/2026,COASTAL RETAIL HOLDINGS SALARY REF 03202608,,"9,800.00","8,253.47"
26/08/2026,CHECKERS HYPER,95.93,,"8,157.54"
26/08/2026,ATM CASH WITHDRAWAL,450.00,,"7,707.54"
28/08/2026,ATM CASH WITHDRAWAL,250.00,,"7,457.54"
30/08/2026,SUPABETS ONLINE,229.16,,"7,228.38"
31/08/2026,SPUR STEAK RANCH,154.43,,"7,073.95"
31/08/2026,MAKRO,53.12,,"7,020.83"
31/08/2026,LOTTO ONLINE,501.06,,"6,519.77"
31/08/2026,HOLLYWOODBETS,93.29,,"6,426.48"
